artifact_type,artifact_id,section,location,old_content,issue_class,frozen_authority,new_content_or_action,value_change,semantic_change,priority,review_required
figure,Figure 0,internal,figures/ch5_refq/figure0_internal_measurement_ontology,Internal measurement ontology scaffold; no scientific values,HISTORICAL_INTERNAL,figures/ch5_refq/figure0_internal_measurement_ontology/source_manifest.json,Keep as internal maintenance artifact; never cite as a paper figure,NO,NO,P2,NO
figure,Figure 1,main,figures/ch5_refq/figure1_evidence_universe_projection,Phase 2-A/B panels point to supplemental v1 and historical release,STALE_SOURCE,outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/event_type_x_target_membership_status.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq1_event_type_distribution_plot.csv,Replace panel data from the named frozen files and render only after authority check,YES,YES,P0,YES
figure,Figure 2,main,figures/ch5_refq/figure2_source_target_views,Source/target panels point to supplemental v1 and historical P0,STALE_SOURCE,outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2a_source_role_ecdf_ccdf.csv; outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2b_target_role_quantiles.csv; outputs/reference_quotient_p0_corrected_v3/rq2b_target_concentration.json,Retain layout; replace every source and preserve source/target asymmetry,YES,YES,P0,YES
figure,Figure 3,main,figures/ch5_refq/figure3_structural_summary,Structural and Louvain panels use v1 summaries and stale community wording,STALE_SOURCE_AND_INTERPRETATION,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/structural_summary.csv; supplemental/reference_quotient_v2/outputs_p0v3/S3_observation_sensitivity/observation_boundary_sensitivity.csv; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_runs.csv; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json,Retain panel geometry; replace data and label canonical partition as one deterministic reference realization,YES,YES,P0,YES
figure,Figure 4,main,figures/ch5_refq/figure4_rq3_comparison,RQ3 panels use v1 plotting tables,STALE_SOURCE,outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv; outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq3_subdomain_descriptive_comparison_plot.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq3_kruskal_fdr_effect_sizes_plot.csv,Replace plotting inputs; show descriptive versus FDR-supported fields separately,YES,YES,P0,YES
figure,Supplementary S1,Supplementary,figures/ch5_refq/supplementary_s1_multiplicity_sensitivity,Threshold sensitivity scaffold points to supplemental v1 S2,STALE_SOURCE,supplemental/reference_quotient_v2/outputs_p0v3/S2_weight_sensitivity/edge_weight_sensitivity.csv,Copy exact threshold rows; threshold means retained Reference-record multiplicity for an ordered project pair,YES,YES,P1,YES
figure,Supplementary S2,Supplementary,figures/ch5_refq/supplementary_s2_louvain_stability,Louvain stability scaffold points to supplemental v1 S4,STALE_SOURCE,supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_runs.csv; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_pairwise.csv; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json,Plot declared runs and ARI; state seed sensitivity and algorithmic modular neighborhood view,YES,YES,P0,YES
figure,Supplementary S3,Supplementary,figures/ch5_refq/supplementary_s3_brokerage_stability,Brokerage stability scaffold points to supplemental v1 S5,STALE_SOURCE,supplemental/reference_quotient_v2/outputs_p0v3/S5_brokerage_stability/brokerage_topk_inclusion_frequency.csv; supplemental/reference_quotient_v2/outputs_p0v3/S5_brokerage_stability/brokerage_stability_runs.csv; supplemental/reference_quotient_v2/outputs_p0v3/S5_brokerage_stability/brokerage_stability_summary.json,Describe structural brokerage candidate ranking stability only; no importance or causal language,YES,YES,P1,YES
figure,Supplementary S4,Supplementary,figures/ch5_refq/supplementary_s4_s1_audit_units,Unit audit scaffold points to v1 corrected flow,STALE_SOURCE,supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/edge_class_counts.csv,Replace with v2 unit-aware flow; preserve RECORD/REFERENCE_RECORD/EDGE_COUNT distinction,YES,YES,P1,YES
figure,Supplementary S5,reviewer reserve,figures/ch5_refq/supplementary_s5_top_evidence_composition,S7 selected-object composition scaffold points to historical v1,REVIEWER_RESERVE_FIXED_OBJECT,supplemental/reference_quotient_v1/outputs/S7_top_evidence_composition/top_source_evidence_composition.csv; supplemental/reference_quotient_v1/outputs/S7_top_evidence_composition/top_target_evidence_composition.csv; supplemental/reference_quotient_v1/outputs/S7_top_evidence_composition/top_edge_evidence_composition.csv; docs/freeze/ch5_refq_p0v3_s7_fixed_object_overlap_runtime_gate_v1.md,Keep only under G09 fixed-object semantics; never reselect corrected top-N,NO,YES,P1,YES
table,Table 3.2,methods,第3章数据来源/分析口径表,"294 seeds; 3,748,078 records; 6,515/6,514 nodes; 9,894/9,605 edges; 6,376 LCC nodes",STALE_NUMBERS,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv,"Update to 294; 3,747,958 admitted; 1,586,047 eligible; 6,506/6,505 nodes; 9,884/9,595 edges; 6,367 LCC nodes",YES,NO,P0,YES
table,Table 3.4.1,methods,第3.4.1实体类型表,Qualitative entity eligibility and role definitions,KEEP,manuscript current text plus frozen construction contract,Retain; verify terminology only,NO,NO,P2,NO
table,Table 4.1,results/RQ1,lines 384-402,Five aggregated source-event rows with old counts and shares,STALE_NUMBERS_AND_AGGREGATION,outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq1_referencing_entity_distribution_plot.csv,Use complete current event-type rows; do not silently preserve old Other aggregation,YES,YES,P0,YES
