claim_id,section,source_location,old_text,new_text,frozen_authority,authority_value_verified,review_required,migration_status,notes
N001,abstract,line 8,"294 seeds; 3,748,078 records; 6,515/6,514 nodes; 9,894 directed edges; 289 self-loops; 9,605 cross-project edges; 9,557 undirected edges; LCC 6,376/9,472","Keep 294 and 3,748,078 scanned; replace admitted/eligible, node, edge, weight, and LCC values with corrected anchors",outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N002,introduction,lines 30/45/52/55/60,294 seed projects and expanded target description,"294 seeds remains; expanded targets are 6,212 and not source-complete",outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N003,methods,lines 101-102,"3,748,078 records; 6,515 nodes; 6,514 edge-observed; 9,894/9,605 edges; LCC 6,376/9,472","Use admitted 3,747,958; eligible 1,586,047; 6,506/6,505; 9,884/9,595; LCC 6,367/9,462",outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N004,methods,lines 107-113,"2023 activity threshold 10; final sample 294; 3,748,078 records",10 and 2023 remain; 294 remains; record flow must use corrected admitted count,configs/ch5_reference_quotient_p0_v3.yaml; outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,YES,NO,VERIFIED_UNCHANGED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N005,methods,lines 123-126,2023-01-01 through 2023-12-31 window,Retain declared 2023 window,configs/ch5_reference_quotient_p0_v3.yaml,YES,NO,VERIFIED_UNCHANGED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N006,methods,lines 212/219,target coverage denominator 294; approximate betweenness sample 500,294 and 500 remain fixed contract values,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/manifest.json,YES,NO,VERIFIED_UNCHANGED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N007,methods,lines 173-176,"Data-scope table reports 294; 3,748,078; 6,515/6,514; 9,894/9,605; 6,376/9,472","Replace with corrected scope rows including 120 out-of-seed and 1,586,047 eligible",outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N008,RQ1,lines 378/388-402,"Source-event counts: IssueComment 1,816,751; Push 1,166,027; PR 335,538; Issue 168,892; Other 260,870","Use complete current event rows: IssueCommentEvent 1,816,696; PushEvent 1,165,990; PullRequestEvent 335,530; IssuesEvent 168,876; ReleaseEvent 96,690; PullRequestReviewEvent 72,597; PullRequestReviewCommentEvent 52,761; CommitCommentEvent 38,818",outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq1_referencing_entity_distribution_plot.csv,YES,YES,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N009,RQ1,lines 413-427,"Target counts: External 1,629,357; PR 672,019; Actor 475,663; Issue 281,662; Commit 255,013; Other 434,364","Use complete current fine-grained target rows; total remains 3,748,078",outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq1_referenced_entity_distribution_plot.csv,YES,YES,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N010,RQ1,lines 432/439,Self-reference mean 41.68%; median 39.37%; Q1 25.63%; Q3 58.45%,Use self_reference_ratio row: mean 0.4182140583339334; median 0.39470115950274465; q25 0.25748696506776747; q75 0.590627010326731,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N011,RQ1,lines 434-442,"WiredTiger 84.08%; 100,190/84,239; SSDB/GreatSQL 0.00%; H2 39.83%","Use corrected wiredtiger/wiredtiger 0.8407905035220454 (15,332 total; 12,891 self); SSDB, GreatSQL, and H2 ratios remain file-backed",outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N012,RQ1,lines 452-460,"Active issue mean 740.06; median 85.50; std 2,025.60; max 22,349; skew 6.25; kurtosis 51.99",Use active_issue_pr_count row: mean 739.9183673469388; median 85.5; std 2025.6475423946813; max 22349; skew 6.253823898740858; kurtosis 51.98617191839453,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N013,RQ1,lines 468-474,Comment-per-issue mean 2.08; median 1.72; std 1.66; max 15.95; skew 5.36; kurtosis 36.59,Use comment_per_issue row exactly,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N014,RQ1,lines 480-496,Comment-reference density mean 2.70; median 1.70; std 3.58; max 34.62; skew 5.44; kurtosis 37.11; AlaSQL 34.6239; pubkey/rxdb 30.9038,Use corrected row: mean 2.695287488845773; median 1.7026388740169658; max 34.62385321100918; named examples remain file-backed,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv; outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N015,RQ1,lines 507-516,n=291; rho -0.1063/0.1063/0.1542/0.1423; p 0.0703/0.0703/0.0084/0.0152,Use corrected rho -0.11817282564989658/0.11817282564989658/0.15735877529004005/0.1417469559448153 and file p-values,outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N016,RQ2 scale,lines 534-543/540-543,"1,586,117 total weight; 139,044 cross-project weight; 6,485 observed undirected; 9,520 sensitivity edges; 6,376/9,472 LCC","Use 1,586,047; 138,974; 6,476; 9,510; 6,367/9,462; 0.9786351060559484 coverage",outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N017,RQ2a,lines 547/553-559,"Out-degree mean 32.67/median 11/Q1 3/Q3 39/max 352; out-strength mean 472.94/median 27.50/Q1 5/Q3 192.75/max 43,574; prior HHI",Replace complete metric rows and S6 quantiles; preserve 294-source denominator,outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2a_source_role_quantiles.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N018,RQ2a,lines 549/557-558,"419 seed-to-seed; 9,186 seed-to-expanded; weights 7,631/131,413","Use 418/9,177 relations and weights 7,630/131,344",outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N019,RQ2a,lines 561,"Top source out-strength: OpenSearch 43,574; qdrant 5,013; Hazelcast 5,000; Velox 4,445; CockroachDB 4,236",Replace complete top-five display from corrected top50 file,outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_top50.csv,YES,YES,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N020,RQ2b,lines 565/573-577,"6,332 observable; 111 seed; 6,221 expanded; in-degree max 42; in-strength max 3,430","Use 6,322 observable; 110 seed; 6,212 expanded; maxima remain 42 and 3,430",outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N021,RQ2b,lines 567/578-580,Top-1/10/50 weight shares 2.47%/15.99%/48.97%,Use top_1 0.024680875559457166; top_10 0.15998676011340252; top_50 0.4899261732410379,outputs/reference_quotient_p0_corrected_v3/rq2b_target_concentration.json,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N022,RQ2b,line 582,"Max in-degree 42 equals 14.29% seed coverage; 6,200 metadata-unavailable expanded targets","Retain 42/14.29%; corrected metadata-unavailable target count is 6,191",outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; outputs/reference_quotient_p0_corrected_v3/rq2b_target_category_type_breakdown.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N023,RQ2c,lines 586/594-599,"9,605 directed; 9,557 undirected; 55/30 components/isolate; LCC 6,376/9,472; clustering 0.042198; transitivity 0.008046","Use corrected summary: 9,595; 9,547; 55/30; 6,367/9,462; clustering 0.04225758251235413; transitivity 0.008047960961122938",outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N024,RQ2c,lines 588/600-601,Seed 20260731; 34 communities; modularity 0.797309595,Use seed 20260731; 35 communities; modularity 0.7969220043681785; add 50-run limitation,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N025,RQ2c,lines 603-613,Brokerage top-five old degree/strength/betweenness/community rows,Replace complete rows from corrected top50; community IDs are algorithmic labels,outputs/reference_quotient_p0_corrected_v3/rq2c_structural_brokerage_top50.csv,YES,YES,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N026,RQ3,lines 617,Two label modes; n_with_replacement may exceed 294,Retain both modes and map n_with_replacement per frozen rows,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,YES,NO,VERIFIED_UNCHANGED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N027,RQ3,lines 621,Object Oriented external share 50.59%; Search Engine 64.03%; composition FDR p 0.7994/0.7994/0.6751/0.6751 and 0.7821/0.7821/0.5430/0.1057,Replace example and all FDR values from corrected full rows,outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv; outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,YES,YES,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N028,RQ3,lines 627-634,Eight include_mixed category rows with old n and medians,Rebuild full include_mixed row set including Object Oriented and RDF,outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv,YES,YES,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
N029,RQ3,line 640,epsilon-squared range 0.0311--0.0686; exclude mode 11 metrics none pass,Use corrected effect rows and rejection flags; do not infer range by hand,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,YES,NO,UPDATED,detected and verified in migrated target; authority row/keys retained from frozen coverage plan
