section,old_lines,qa_lines,added_lines,deleted_lines,required_science_blocks,semantic_blocks,editorial_blocks,table_schema_changes,recommended_section_policy,manual_review_count
"abstract","15","15","2","2","1","0","0","0","KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING","0"
"introduction","46","46","0","0","1","0","0","0","KEEP_OLD_EXACT_PLUS_CURRENT_SCOPE_BINDING","0"
"methods","275","275","11","11","2","0","0","1","KEEP_OLD_PROSE_UPDATE_VALUES","0"
"RQ1","153","106","56","103","5","1","0","2","KEEP_OLD_PROSE_UPDATE_VALUES","1"
"RQ2 scale","13","12","6","7","1","0","0","0","KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING","0"
"RQ2a","18","15","10","13","2","0","0","1","MERGE_OLD_AND_QA","1"
"RQ2b","21","18","8","11","2","0","0","0","KEEP_OLD_TABLE_SCHEMA_CORRECT_VALUES","0"
"RQ2c","31","34","22","19","3","1","0","2","MERGE_OLD_AND_QA","1"
"RQ3","51","51","25","25","6","3","0","2","KEEP_OLD_TABLE_SCHEMA_CORRECT_VALUES_WITH_MANUAL_SCHEMA_REVIEW","2"
"discussion","36","36","3","3","1","0","0","0","KEEP_OLD_PROSE_UPDATE_VALUES","0"
"validity","33","33","0","0","0","1","1","0","KEEP_OLD_PROSE_UPDATE_VALUES","0"
"appendix A","44","48","19","15","3","1","0","0","MERGE_OLD_AND_QA","1"
"main-result repetition","0","0","0","0","1","0","0","0","KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING","0"
"S7 reserve","0","0","0","0","1","1","0","0","MERGE_OLD_AND_QA","1"
