claim_id,section,location,old_text_or_value,old_authority_if_inferable,frozen_authority_path,new_value_or_action,status,semantic_note,review_required
N001,abstract,line 8,"294 seeds; 3,748,078 records; 6,515/6,514 nodes; 9,894 directed edges; 289 self-loops; 9,605 cross-project edges; 9,557 undirected edges; LCC 6,376/9,472",historical P0 embedded in manuscript,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,"Keep 294 and 3,748,078 scanned; replace admitted/eligible, node, edge, weight, and LCC values with corrected anchors",VALUE_CHANGE,Retain seed-centered weaker-semantic framing,NO
N002,introduction,lines 30/45/52/55/60,"294 seed projects and expanded target description",manuscript narrative,outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,"294 seeds remains; expanded targets are 6,212 and not source-complete",VALUE_CHANGE,Preserve RQ2a/RQ2b/RQ2c role separation,NO
N003,methods,lines 101-102,"3,748,078 records; 6,515 nodes; 6,514 edge-observed; 9,894/9,605 edges; LCC 6,376/9,472",historical P0 embedded in manuscript,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,"Use admitted 3,747,958; eligible 1,586,047; 6,506/6,505; 9,884/9,595; LCC 6,367/9,462",VALUE_CHANGE,Explicitly distinguish node domain from edge-observed nodes,NO
N004,methods,lines 107-113,"2023 activity threshold 10; final sample 294; 3,748,078 records",manuscript method text,configs/ch5_reference_quotient_p0_v3.yaml; outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,"10 and 2023 remain; 294 remains; record flow must use corrected admitted count",UNCHANGED,Configuration facts are not rerun results,NO
N005,methods,lines 123-126,"2023-01-01 through 2023-12-31 window",manuscript method text,configs/ch5_reference_quotient_p0_v3.yaml,"Retain declared 2023 window",UNCHANGED,Cross-sectional design remains,NO
N006,methods,lines 212/219,"target coverage denominator 294; approximate betweenness sample 500",manuscript method text,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/manifest.json,"294 and 500 remain fixed contract values",UNCHANGED,Do not infer importance or causal brokerage,NO
N007,methods,lines 173-176,"Data-scope table reports 294; 3,748,078; 6,515/6,514; 9,894/9,605; 6,376/9,472",historical P0 embedded in manuscript,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv,"Replace with corrected scope rows including 120 out-of-seed and 1,586,047 eligible",VALUE_CHANGE,Keep upstream OSDB data as non-denominator context,NO
N008,RQ1,lines 378/388-402,"Source-event counts: IssueComment 1,816,751; Push 1,166,027; PR 335,538; Issue 168,892; Other 260,870",historical P0 or prior aggregate,outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq1_referencing_entity_distribution_plot.csv,"Use complete current event rows: IssueCommentEvent 1,816,696; PushEvent 1,165,990; PullRequestEvent 335,530; IssuesEvent 168,876; ReleaseEvent 96,690; PullRequestReviewEvent 72,597; PullRequestReviewCommentEvent 52,761; CommitCommentEvent 38,818",VALUE_CHANGE,Do not silently retain old Other aggregation,YES
N009,RQ1,lines 413-427,"Target counts: External 1,629,357; PR 672,019; Actor 475,663; Issue 281,662; Commit 255,013; Other 434,364",historical P0 or prior aggregate,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq1_referenced_entity_distribution_plot.csv,"Use complete current fine-grained target rows; total remains 3,748,078",VALUE_CHANGE,Preserve external-resource descriptive boundary,YES
N010,RQ1,lines 432/439,"Self-reference mean 41.68%; median 39.37%; Q1 25.63%; Q3 58.45%",historical P0 descriptive statistics,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,"Use self_reference_ratio row: mean 0.4182140583339334; median 0.39470115950274465; q25 0.25748696506776747; q75 0.590627010326731",VALUE_CHANGE,Descriptive evidence composition only,NO
