gate_id,frozen_condition,implementation_location,test_location,read_only_preflight_evidence,runtime_status,C4_stage_that_will_execute_it,downstream_block
G01,corrected P0 manifest status PASS,supplemental/reference_quotient_v2/scripts/manifest.py,supplemental/reference_quotient_v2/tests/test_scaffold_and_paths.py,manifest SHA and parsed PASS status,DESIGN_ONLY_NOT_EXECUTED,all stages,all stages
G02,corrected P0 hashes and config root close,supplemental/reference_quotient_v2/scripts/input_hashes.py,supplemental/reference_quotient_v2/tests/test_c3_7f_contracts.py,accepted manifest/config SHA and 30 P0 outputs verified,DESIGN_ONLY_NOT_EXECUTED,all stages,all stages
G03,corrected aggregate schema closes,supplemental/reference_quotient_v2/scripts/s1_adapter.py,supplemental/reference_quotient_v2/tests/test_s1_adapter.py,header/schema contract available,DESIGN_ONLY_NOT_EXECUTED,C4-S1,S1 analytics
G04,exactly 294 corrected aggregate partitions,supplemental/reference_quotient_v2/scripts/input_hashes.py,supplemental/reference_quotient_v2/tests/test_c3_7f_contracts.py,294 accepted partition records and current SHA closure,DESIGN_ONLY_NOT_EXECUTED,C4-S1,S1
G05,status-aware source admission contract,supplemental/reference_quotient_v2/scripts/s1_adapter.py,supplemental/reference_quotient_v2/tests/test_s1_adapter.py,status vocabulary and row contract fixture tests,DESIGN_ONLY_NOT_EXECUTED,C4-S1,S1 analytics
G06,admitted/rejected/reference reconciliation,supplemental/reference_quotient_v2/scripts/s1_streaming.py,supplemental/reference_quotient_v2/tests/test_s1_streaming.py,two-pass counters and audit staging fixtures,DESIGN_ONLY_NOT_EXECUTED,C4-S1,S2
G07,admitted identity contradictions zero,supplemental/reference_quotient_v2/scripts/s1_streaming.py,supplemental/reference_quotient_v2/tests/test_s1_streaming.py,admitted mismatch gate fixture,DESIGN_ONLY_NOT_EXECUTED,C4-S1,S2
G08,no historical output writes,supplemental/reference_quotient_v2/scripts/stage_io.py,supplemental/reference_quotient_v2/tests/test_stage_io.py,protected-root write rejection,DESIGN_ONLY_NOT_EXECUTED,all stage writes,all stages
G09,S7 side-effect and fixed-object overlap gate,supplemental/reference_quotient_v2/scripts/manifest.py,supplemental/reference_quotient_v2/tests/test_manifest_v2.py,S7 enum and package lifecycle only,DESIGN_ONLY_NOT_EXECUTED,separate S7 gate,package completion
G10,directed threshold before collapse,supplemental/reference_quotient_v2/scripts/s2_weight_sensitivity.py,supplemental/reference_quotient_v2/tests/test_s2_weight_sensitivity.py,threshold ordering fixture,DESIGN_ONLY_NOT_EXECUTED,C4-S2,S3
G11,shared canonical graph authority,supplemental/reference_quotient_v2/scripts/s3_observation_sensitivity.py,supplemental/reference_quotient_v2/tests/test_s3_observation_sensitivity.py,shared network authority identity fixture,DESIGN_ONLY_NOT_EXECUTED,C4-S3,S4
G12,corrected canonical S4 comparison,supplemental/reference_quotient_v2/scripts/s4_community_stability.py,supplemental/reference_quotient_v2/tests/test_s4_community_stability.py,canonical parity function and seed contract,DESIGN_ONLY_NOT_EXECUTED,C4-S4,S5
G13,corrected brokerage authority,supplemental/reference_quotient_v2/scripts/s5_brokerage_stability.py,supplemental/reference_quotient_v2/tests/test_s5_brokerage_stability.py,unweighted ranking/frequency fixture,DESIGN_ONLY_NOT_EXECUTED,C4-S5,S6
G14,deprecated S5 authority absent,supplemental/reference_quotient_v2/scripts/s5_brokerage_stability.py,supplemental/reference_quotient_v2/tests/test_s5_brokerage_stability.py,deprecated path excluded from v2 contract,DESIGN_ONLY_NOT_EXECUTED,C4-S5,S6
G15,S6 corrected-source-only authority,supplemental/reference_quotient_v2/scripts/s6_figure_ready.py,supplemental/reference_quotient_v2/tests/test_s6_figure_ready.py,14 P0 plus exact S4/S5 source map,DESIGN_ONLY_NOT_EXECUTED,C4-S6,S6 completion
G16,deprecated S6 JSON authority absent,supplemental/reference_quotient_v2/scripts/s6_figure_ready.py,supplemental/reference_quotient_v2/tests/test_s6_figure_ready.py,20 CSV inventory and deprecated exclusion,DESIGN_ONLY_NOT_EXECUTED,C4-S6,S6 completion
G17,S6 source SHA closure,supplemental/reference_quotient_v2/scripts/s6_figure_ready.py,supplemental/reference_quotient_v2/tests/test_s6_figure_ready.py,manifest source/output closure fixture,DESIGN_ONLY_NOT_EXECUTED,C4-S6,manifest freeze
G18,S1-S6 execution dependency closure,supplemental/reference_quotient_v2/scripts/orchestrator.py,supplemental/reference_quotient_v2/tests/test_c3_7f_orchestration.py,fixture blocked-order and receipt tests,DESIGN_ONLY_NOT_EXECUTED,all stages,package completion
G19,historical roots byte-identical pre/post,supplemental/reference_quotient_v2/scripts/historical_immutability.py,supplemental/reference_quotient_v2/tests/test_c3_7f_contracts.py,pre-C4 baseline and exact comparator match,DESIGN_ONLY_NOT_EXECUTED,all stage writes plus separate S7,package completion
G20,complete root package manifest,supplemental/reference_quotient_v2/scripts/manifest.py,supplemental/reference_quotient_v2/tests/test_c3_7f_orchestration.py,fixture six-receipt package closure with S7 NOT_EVALUATED,DESIGN_ONLY_NOT_EXECUTED,post-C4-S6,final human review
