physical_table_index,table_id,location,schema,header,data_rows,column_count,authority,authority_rows,display_aggregation,display_transform,scientific_cells_unchanged,status,notes
1,Method scope table,method data-scope section,seven-column scope and provenance matrix,数据/口径名称 | 数量或范围 | 来源或生成方式 | 分析用途 | 对应 RQ | 是否进入主文结果 | 主要边界,7,7,"P0-v3 manifests and audits; manuscript method contract",seven scope rows,NOT_APPLICABLE,verbatim method presentation,YES,PASS,Unchanged from reconciled input
2,Entity semantics table,method entity-semantics section,six-column entity mapping matrix,entity type/group | definition | example | project-mappable? | role in RQ1 | role in RefQ,10,6,manuscript construction contract,ten entity or relation rows,NOT_APPLICABLE,verbatim method presentation,YES,PASS,Unchanged from reconciled input
3,Table 4.1,section 4.1.1,compact source-event distribution,征引实体类型 | 引用次数 | 占比（%）,6,3,"outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/event_type_x_quotient_eligibility.csv",IssueComment; Push; PullRequest; Issue; Other; Total,Other=260866 and Total=3747958,two-decimal share over admitted records,YES,PASS,All data cells unchanged
4,Table 4.2,section 4.1.1,compact target-entity distribution,被引实体类型 | 引用次数 | 占比（%）,7,3,"outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/target_entity_type_x_quotient_eligibility.csv",External Links; PullRequest; Actor; Issue; Commit; Other; Total,Other=434337 and Total=3747958,two-decimal share over admitted records,YES,PASS,All data cells unchanged
5,Table 4.3,section 4.1.2,descriptive distribution with n mean median std min max skew kurtosis Q1 Q3,统计量 | n | 均值 | 中位数 | 标准差 | 最小值 | 最大值 | 偏度 | 峰度 | 25%分位数 | 75%分位数,1,11,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,active_issue_pr_count,NOT_APPLICABLE,current profile precision,YES,PASS,All data cells unchanged
6,Table 4.4,section 4.1.2,descriptive distribution with n mean median std min max skew kurtosis Q1 Q3,统计量 | n | 均值 | 中位数 | 标准差 | 最小值 | 最大值 | 偏度 | 峰度 | 25%分位数 | 75%分位数,1,11,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,comment_per_issue,NOT_APPLICABLE,current profile precision,YES,PASS,All data cells unchanged
7,Table 4.5,section 4.1.2,descriptive distribution with n mean median std min max skew kurtosis Q1 Q3,统计量 | n | 均值 | 中位数 | 标准差 | 最小值 | 最大值 | 偏度 | 峰度 | 25%分位数 | 75%分位数,1,11,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,comment_reference_density,NOT_APPLICABLE,current profile precision,YES,PASS,All data cells unchanged
8,Table 4.6a,section 4.1.3,cross-sectional association rows with n rho p and design,指标 | n | Spearman rho | p | 设计,4,5,outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv,four association rows,NOT_APPLICABLE,rho and p to four decimals,YES,PASS,All data cells unchanged
9,Table 4.6b,section 4.2.0,directed and undirected graph-scale views,视图 | 节点 | 边 | 权重或补充口径,4,4,"outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json",network scale and LCC fields,NOT_APPLICABLE,edge count and weight units explicit,YES,PASS,All data cells unchanged
10,Table 4.6c main,section 4.2a,source-role quantile block,指标 | Q1 | 中位数 | Q3 | 最大值,4,5,supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2a_source_role_quantiles.csv,four source-role quantile rows,NOT_APPLICABLE,no computed means,YES,PASS,Main block unchanged
