table_id,schema,data_rows,authority,authority_rows,display_aggregation,display_transform,status
Table 4.1,OLD compact: four major source-event rows plus Other and Total,6,"outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/event_type_x_quotient_eligibility.csv","IssueComment;Push;PullRequest;Issue;Other;Total","Other=260866 exact sum of current non-top-four rows; total=3747958",two-decimal global share over admitted records,PASS
Table 4.2,OLD compact: five major target rows plus Other and Total,7,"outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/target_entity_type_x_quotient_eligibility.csv","External Links;PullRequest;Actor;Issue;Commit;Other;Total","Other=434337 exact sum of current non-top-five rows; total=3747958",two-decimal global share over admitted records,PASS
Table 4.3,descriptive distribution with n mean median std min max skew kurtosis Q1 Q3,1,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,active_issue_num,NOT_APPLICABLE,current profile precision,PASS
Table 4.4,descriptive distribution with n mean median std min max skew kurtosis Q1 Q3,1,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,comment_related_id_count/active_issue_num,NOT_APPLICABLE,current profile precision,PASS
Table 4.5,descriptive distribution with n mean median std min max skew kurtosis Q1 Q3,1,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,comment_body_ref_count/comment_related_id_count,NOT_APPLICABLE,current profile precision,PASS
Table 4.6a,cross-sectional association rows with n Spearman rho p and design,4,outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv,four association rows,NOT_APPLICABLE,display rho/p to four decimals,PASS
Table 4.6b,project-level scale rows for directed and undirected views,4,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,network scale and LCC fields,NOT_APPLICABLE,explicit edge-count versus weight labels,PASS
Table 4.6c,compact merged Block A quantiles plus Block B relation partition totals,8,supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2a_source_role_quantiles.csv; outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv,source quantiles and seed relation totals,NOT_APPLICABLE,no computed means; current quantiles and totals only,PASS
Table 4.6d,OLD compact target-role schema with reported values,8,outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; outputs/reference_quotient_p0_corrected_v3/rq2b_target_concentration.json,target counts and concentration shares,NOT_APPLICABLE,shares to two decimals; denominator=138974 weight,PASS
Table 4.6e,OLD compact structural schema with algorithmic communities and modularity,8,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json,canonical graph and S4 limitation kept in prose,NOT_APPLICABLE,current graph metrics; S4 not overloaded into table,PASS
Table 4.6f,OLD brokerage top-five schema with algorithmic community label,5,outputs/reference_quotient_p0_corrected_v3/rq2c_structural_brokerage_top50.csv,corrected current top-five,NOT_APPLICABLE,betweenness to six decimals,PASS
Table 4.7,complete current include_mixed ten-category descriptive schema,10,outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv,Document;Graph;Key-value;Object Oriented;RDF;Relational;Search Engine;Time Series;Vector;Wide column,NOT_APPLICABLE,medians displayed as percentages; all frozen rows retained,PASS
Table 4.8,OLD compact inferential schema: feature with include/exclude FDR p epsilon-squared and cross-mode status,11,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,all 11 feature rows,NOT_APPLICABLE,FDR p and epsilon-squared rounded to four decimals,PASS
