gate_id,gate_name,design_condition,check_scope,required_evidence,downstream_effect,status_now
G01,corrected P0 manifest PASS,manifest exists and status equals PASS,outputs/reference_quotient_p0_corrected_v2/manifest.json,manifest SHA and parsed status,block all stages,DESIGN_ONLY_NOT_EXECUTED
G02,corrected P0 hashes PASS,corrected config SHA output root and input hashes close,manifest config corrected config and P0 root,config root and SHA closure,block all stages,DESIGN_ONLY_NOT_EXECUTED
G03,corrected aggregate schema PASS,all partitions contain required corrected fields and schema version,corrected aggregate headers,required columns and schema audit,block S1,DESIGN_ONLY_NOT_EXECUTED
G04,294 corrected aggregate partitions,exactly 294 seed-linked partitions exist,seed manifest and aggregate root,partition list and hashes,block S1,DESIGN_ONLY_NOT_EXECUTED
G05,S1 status-aware source admission contract PASS,"allowed statuses are ADMITTED_SOURCE_OBSERVATION OUT_OF_SEED_SOURCE_OBSERVATION MISSING_EVENT_REPOSITORY_ID INVALID_EVENT_REPOSITORY_ID; each row matches its status-specific event/context/mismatch conditions; unknown or contradictory status fails closed",reference_provenance_staging before analytical view,row-level status/identity/mismatch consistency audit,block S1 analytics,DESIGN_ONLY_NOT_EXECUTED
G06,S1 admitted/rejected/reference reconciliation PASS,"fixture boundary 3748078 before admission; 3747958 admitted; rejected counts reconcile by each supported status including 120 out-of-seed and zero missing/invalid; audit table retains rejected rows","reference_provenance_staging counters plus admitted_reference_records view","before/admitted/rejected-by-status closure plus separate REFERENCE_RECORD AGGREGATED_EDGE_WEIGHT EDGE_COUNT closures",block S2,DESIGN_ONLY_NOT_EXECUTED
G07,admitted identity contradiction equals zero,"among admitted_reference_records only: event_repo_id and expected context/current seed are valid and equal; source_provenance_mismatch is false; source-seed membership mismatch is zero",admitted_reference_records and admitted audit,admitted identity/mismatch/seed contradiction counters,block S2,DESIGN_ONLY_NOT_EXECUTED
G08,no historical output writes,no stage writes under historical P0 or supplemental v1 roots,preflight write audit,resolved write paths and filesystem diff,block every stage,DESIGN_ONLY_NOT_EXECUTED
G09,S7 side effect and fixed-object overlap equal zero,"S1-S6 create zero S7 artifacts reselect zero S7 objects and overwrite zero S7 artifacts; fixed_source_set intersection affected_source_set is empty; fixed_target_set intersection affected_target_set is empty; fixed_edge_set intersection affected_edge_set is empty; all three empty sets S7_STATUS to KEPT_FIXED_OBJECT and any non-empty intersection sets S7_STATUS to REGENERATE_REQUIRED",S7 write trace and read-only KEEP overlap audit,"zero S7 writes/reselection plus three explicit set-intersection cardinalities equal zero",block package completion,DESIGN_ONLY_NOT_EXECUTED
G10,S2 weight multiplicity contract PASS,directed weight thresholded before collapse and P0-specific multiplicity documented,S2 input audit,weight edge-count and order audit,block S3,DESIGN_ONLY_NOT_EXECUTED
G11,S3 shared canonical graph authority PASS,S3 calls shared network_views with deterministic node rules,implementation test and manifest,authority path seed and graph closure,block S4,DESIGN_ONLY_NOT_EXECUTED
G12,S4 corrected canonical comparison PASS,Louvain runs and partitions close against corrected summary without historical hard-code,S4 output and fixture,run list partition coverage and comparison,block S5,DESIGN_ONLY_NOT_EXECUTED
G13,S5 corrected brokerage authority PASS,S5 uses unweighted approximate betweenness declared k seed tie-break and corrected graph,S5 output and method manifest,rank stability and candidate closure,block S6,DESIGN_ONLY_NOT_EXECUTED
G14,deprecated S5 authority absent,old frequency file is neither consumed nor emitted,v2 source scan and manifest,deprecated path exclusion,block S6,DESIGN_ONLY_NOT_EXECUTED
G15,S6 corrected-source-only authority PASS,P0 sources corrected root and S4/S5 sources v2 outputs,v2 S6 manifest and paths,source root prefix audit,block S6 completion,DESIGN_ONLY_NOT_EXECUTED
G16,deprecated S6 JSON authority absent,old structural summary JSON and historical manifests excluded,v2 inventory and source scan,deprecated exclusion plus CSV authority,block S6 completion,DESIGN_ONLY_NOT_EXECUTED
G17,S6 source SHA closure PASS,every entry records source path SHA root version transform row count output SHA,v2 S6 manifest,entry hash closure,block manifest freeze,DESIGN_ONLY_NOT_EXECUTED
G18,S1-S6 stage dependency closure PASS,failed upstream blocks downstream and stages are separately invokable,orchestrator test trace,DAG and blocked-stage trace,block package completion,DESIGN_ONLY_NOT_EXECUTED
G19,historical v1 immutability PASS,historical P0 and v1 supplemental roots remain byte-identical,pre/post snapshots,all historical SHA comparisons,block package completion,DESIGN_ONLY_NOT_EXECUTED
G20,corrected manifest completeness PASS,v2 manifest records commit branch roots hashes identity rule all stage hashes seeds runtime methods and S7 status,v2 manifest,required-key validation,block human release review,DESIGN_ONLY_NOT_EXECUTED
