path,function,input_artifact,use_of_community_size,scientific_effect,affected_by_bug,required_action
script/ch5_reference_quotient/network_views.py,analyze_undirected_view,canonical LCC graph,emits redundant size after canonical community enumeration,None on graph/partition/brokerage; label-to-size metadata only,YES,fix shared producer and regenerate v3
script/ch5_reference_quotient/pipeline.py,_write_rq2_outputs,rq2c_algorithmic_communities.csv,writes producer output and uses project_id only to derive LCC directed rows,None,NO,retain semantics; consume corrected v3 asset
script/ch5_reference_quotient/pipeline.py,_write_rq3_outputs,rq1 profiles and brokerage,does not read community_size,None,NO,no action
supplemental/reference_quotient_v2/scripts/s45_canonical_graph.py,canonical_partition_from_frame,rq2c_algorithmic_communities.csv,validates recorded size against group cardinality,fail-closed validator; no calculation,YES,load v3 only for clean authority; audit v2 separately
supplemental/reference_quotient_v2/scripts/s6_figure_ready.py,_community_size_distribution,rq2c_algorithmic_communities.csv,derives display/distribution table and rejects stale size,display/distribution only,YES,use v3 or explicit legacy audit mode
supplemental/reference_quotient_v2/scripts/s2_weight_sensitivity.py,analyze_with_shared_network_authority,in-memory community frame,passes community IDs only through shared summary/brokerage outputs,No dependency on size column,NO,no action
supplemental/reference_quotient_v2/scripts/s3_observation_sensitivity.py,_normalize_community_frame,in-memory community frame,retains metadata for output/parity,No graph calculation; parity metadata only,YES,rerun from v3 for clean provenance
supplemental/reference_quotient_v2/scripts/s4_community_stability.py,assert_s4_canonical_seed_matches_corrected_p0,rq2c_algorithmic_communities.csv,uses project-to-community partition; size is validated upstream only,partition scientific result unaffected,YES,rerun from v3 authority
supplemental/reference_quotient_v2/scripts/s5_brokerage_stability.py,assert_s5_canonical_setting_matches_corrected_p0,rq2c_structural_brokerage_candidates.csv,does not read community_size,none,NO,rerun from v3 authority for provenance
supplemental/reference_quotient_v1/scripts/common.py,analyze_network,rq2c_algorithmic_communities.csv,emits redundant size after sorted communities,graph/partition/brokerage unaffected; metadata association affected,YES,historical immutable; document limitation
supplemental/reference_quotient_v1/scripts/run_supplemental.py,community_size_distribution,rq2c_algorithmic_communities.csv,derives global size distribution from grouped rows,global multiset invariant under permutation,YES,historical immutable; compare distribution separately
