claim_id,section,source_location,original_exact_excerpt,migrated_v1_exact_excerpt,qa_final_exact_excerpt,frozen_authority,authority_key_or_row,display_transform,review_required,status,notes
"N001","abstract","line 8","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。在观测窗口的 GitHub 协作记录中，本文识别并保留 3,748,078 条有效 Reference records；Project-level RefQN 的完整节点域为 6,515 个项目，其中 6,514 个节点有边观测，形成 9,894 条含自环的有向 RefQ edges（其中 289 条为自环、9,605 条为跨项目边）。其无向派生视图包含 9,557 条边，最大连通子图包含 6,376 个节点和 9,472 条无向边。","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描  3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描 3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","scanned_input_rows;retained_reference_records;quotient_eligible_records;refq_node_domain;refq_directed_edges_including_self_loops;refq_directed_cross_project_edges","INTEGER_FORMAT;EXACT","NO","PASS_EXACT_CLOSURE","Abstract scope and RefQN scale are literal manuscript excerpts."
"N002","introduction","lines 30/45/52/55/60","为保证经验分析的可复核性，本文同时明确数据口径、处理链边界和 quotient construction 规则。本文区分四个相互关联但不可混用的口径。第一，**analysis seed projects** 指 294 个满足领域代表性、活跃度和许可证筛选条件的开源 DBMS 项目，它们是本文 GitHub 日志爬取和 Reference source 观测对象。第二，**有效 Reference records** 指从上述 294 个 seed projects 的协作日志中抽取并校验得到的 3,748,078 条 Reference records，它们用于 Reference entity distribution、comment reference density、自引用和 external-reference orientation 等描述性分析。第三，**Project-level RefQN** 指将 project-mappable Reference endpoints 依据 artifact-to-project membership coarsening 到 Repo/project 粒度后形成的 weighted directed quotient network；完整节点域包含 6,515 个项目节点，其中 6,514 个节点有边观测；完整有向表包含 9,894 条边（含 289 条 self-loops），跨项目视图包含 9,605 条边。第四，**最大连通子图**指 Project-level RefQN 的无向派生结构视图中用于聚类系数和社区检测等需要连通性假设的网络子图，包含 6,376 个节点和 9,472 条无向去重边。","为保证经验分析的可复核性，本文同时明确数据口径、处理链边界和 quotient construction 规则。本文区分四个相互关联但不可混用的口径。第一，**analysis seed projects** 指 294 个满足领域代表性、活跃度和许可证筛选条件的开源 DBMS 项目，它们是本文 GitHub 日志爬取和 Reference source 观测对象。第二，**scanned input Reference records** 指观测窗口中扫描到的 3,748,078 条输入记录；经过 source-admission 后得到 3,747,958 条 admitted source-observation records，用于 Reference entity distribution、comment reference density、自引用和 external-reference orientation 等描述性分析。第三，**quotient-eligible records** 为其中可映射到项目端点的 1,586,047 条记录，聚合后形成 Project-level RefQN；该网络完整节点域包含 6,506 个项目节点，其中 6,505 个节点有边观测。完整有向表包含 9,884 条边（含 289 条 self-loops），跨项目视图包含 9,595 条边。第四，**最大连通子图**指 Project-level RefQN 的无向派生结构视图中用于聚类系数和社区检测等需要连通性假设的网络子图，包含 6,367 个节点和 9,462 条无向去重边。","为保证经验分析的可复核性，本文同时明确数据口径、处理链边界和 quotient construction 规则。本文区分四个相互关联但不可混用的口径。第一，**analysis seed projects** 指 294 个满足领域代表性、活跃度和许可证筛选条件的开源 DBMS 项目，它们是本文 GitHub 日志爬取和 Reference source 观测对象。第二，**scanned input Reference records** 指观测窗口中扫描到的 3,748,078 条输入记录；经过 source-admission 后得到 3,747,958 条 admitted source-observation records，用于 Reference entity distribution、comment reference density、自引用和 external-reference orientation 等描述性分析。第三，**quotient-eligible records** 为其中可映射到项目端点的 1,586,047 条记录，聚合后形成 Project-level RefQN；该网络完整节点域包含 6,506 个项目节点，其中 6,505 个节点有边观测。完整有向表包含 9,884 条边（含 289 条 self-loops），跨项目视图包含 9,595 条边。第四，**最大连通子图**指 Project-level RefQN 的无向派生结构视图中用于聚类系数和 Louvain 算法社区检测等需要连通性假设的网络子图，包含 6,367 个节点和 9,462 条无向去重边。","outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json","seed_count;expanded_target_count;expanded_targets_are_source_complete","INTEGER_FORMAT;EXACT","NO","PASS_EXACT_CLOSURE","Seed/expanded-target boundary excerpt retained."
"N003","methods","lines 101-102","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。在观测窗口的 GitHub 协作记录中，本文识别并保留 3,748,078 条有效 Reference records；Project-level RefQN 的完整节点域为 6,515 个项目，其中 6,514 个节点有边观测，形成 9,894 条含自环的有向 RefQ edges（其中 289 条为自环、9,605 条为跨项目边）。其无向派生视图包含 9,557 条边，最大连通子图包含 6,376 个节点和 9,472 条无向边。","为保证经验分析的可复核性，本文同时明确数据口径、处理链边界和 quotient construction 规则。本文区分四个相互关联但不可混用的口径。第一，**analysis seed projects** 指 294 个满足领域代表性、活跃度和许可证筛选条件的开源 DBMS 项目，它们是本文 GitHub 日志爬取和 Reference source 观测对象。第二，**scanned input Reference records** 指观测窗口中扫描到的 3,748,078 条输入记录；经过 source-admission 后得到 3,747,958 条 admitted source-observation records，用于 Reference entity distribution、comment reference density、自引用和 external-reference orientation 等描述性分析。第三，**quotient-eligible records** 为其中可映射到项目端点的 1,586,047 条记录，聚合后形成 Project-level RefQN；该网络完整节点域包含 6,506 个项目节点，其中 6,505 个节点有边观测。完整有向表包含 9,884 条边（含 289 条 self-loops），跨项目视图包含 9,595 条边。第四，**最大连通子图**指 Project-level RefQN 的无向派生结构视图中用于聚类系数和社区检测等需要连通性假设的网络子图，包含 6,367 个节点和 9,462 条无向去重边。","为保证经验分析的可复核性，本文同时明确数据口径、处理链边界和 quotient construction 规则。本文区分四个相互关联但不可混用的口径。第一，**analysis seed projects** 指 294 个满足领域代表性、活跃度和许可证筛选条件的开源 DBMS 项目，它们是本文 GitHub 日志爬取和 Reference source 观测对象。第二，**scanned input Reference records** 指观测窗口中扫描到的 3,748,078 条输入记录；经过 source-admission 后得到 3,747,958 条 admitted source-observation records，用于 Reference entity distribution、comment reference density、自引用和 external-reference orientation 等描述性分析。第三，**quotient-eligible records** 为其中可映射到项目端点的 1,586,047 条记录，聚合后形成 Project-level RefQN；该网络完整节点域包含 6,506 个项目节点，其中 6,505 个节点有边观测。完整有向表包含 9,884 条边（含 289 条 self-loops），跨项目视图包含 9,595 条边。第四，**最大连通子图**指 Project-level RefQN 的无向派生结构视图中用于聚类系数和 Louvain 算法社区检测等需要连通性假设的网络子图，包含 6,367 个节点和 9,462 条无向去重边。","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","retained_reference_records;quotient_eligible_records;refq_node_domain;refq_directed_edges_including_self_loops;refq_directed_cross_project_edges","INTEGER_FORMAT;EXACT","NO","PASS_EXACT_CLOSURE","Data-scope definitions are taken from actual text."
"N004","methods","lines 107-113","2. **活跃度阈值**：2023 年至少包含 10 条 Issue 讨论或 Pull Request 提交记录，以保证存在足够可观测协作痕迹；","2. **活跃度阈值**：2023 年至少包含 10 条 Issue 讨论或 Pull Request 提交记录，以保证存在足够可观测协作痕迹；","2. **活跃度阈值**：2023 年至少包含 10 条 Issue 讨论或 Pull Request 提交记录，以保证存在足够可观测协作痕迹；","configs/ch5_reference_quotient_p0_v3.yaml;outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json","activity_threshold;study_year;seed_count","INTEGER_FORMAT;EXACT","NO","PASS_EXACT_CLOSURE","Threshold and seed contract unchanged."
"N005","methods","lines 123-126","4. **时间窗口对齐**：统一所有项目的数据时间范围为2023年1月1日至2023年12月31日，消除时间偏差影响。","4. **时间窗口对齐**：统一所有项目的数据时间范围为2023年1月1日至2023年12月31日，消除时间偏差影响。","4. **时间窗口对齐**：统一所有项目的数据时间范围为2023年1月1日至2023年12月31日，消除时间偏差影响。","configs/ch5_reference_quotient_p0_v3.yaml","window_start;window_end;study_year","EXACT","NO","PASS_EXACT_CLOSURE","Declared 2023 observation window retained."
"N006","methods","lines 212/219","- approximate betweenness 以固定 500-node sample 和 random seed 计算，只作为 structural brokerage candidate 指标。","- approximate betweenness 以固定 500-node sample 和 random seed 计算，只作为 structural brokerage candidate 指标。","- approximate betweenness 以固定 500-node sample 和 random seed 计算，只作为 structural brokerage candidate 指标。","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","brokerage_sample_size;nodes;operator_order","INTEGER_FORMAT;EXACT","NO","PASS_EXACT_CLOSURE","Fixed brokerage sample and first-order view boundary retained."
"N007","methods","lines 173-176","| Project-level RefQN | 6,515 个节点域；6,514 个 edge-observed nodes；9,894 条有向边（含 289 条自环）；9,605 条跨项目边 | 将 project-mappable Reference endpoints 按 artifact-to-project membership coarsening 为 weighted directed quotient network | source-role（含 seed-to-seed / seed-to-expanded）、target-role、项目级 RefQ 有向结构 | RQ2a/RQ2b | 是 | 包含种子项目及被引扩展节点，不是仅含 294 节点的诱导子图；source 完整观测仅限 294 个种子项目 |","| Scanned / admitted Reference records | 3,748,078 scanned；3,747,958 admitted | 从 294 个种子项目协作日志中经 GH_CoRE 抽取、source-admission、校验和标准化得到 | 引用类型分布、社区互动强度、external-reference orientation 和部分子领域比较 | RQ1；部分 RQ3 | 是 | scanned input 与 admitted observation 分开报告；限于 GitHub 可观测显式或半结构化 Reference |","| Scanned / admitted Reference records | 3,748,078 scanned；3,747,958 admitted | 从 294 个种子项目协作日志中经 GH_CoRE 抽取、source-admission、校验和标准化得到 | 引用类型分布、协作互动强度、external-reference orientation 和部分子领域比较 | RQ1；部分 RQ3 | 是 | scanned input 与 admitted observation 分开报告；限于 GitHub 可观测显式或半结构化 Reference |","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json;supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv","scanned_input_rows;retained_reference_records;quotient_eligible_records;refq_node_domain;refq_directed_edges_including_self_loops","INTEGER_FORMAT;EXACT","NO","PASS_EXACT_CLOSURE","Data-scope table excerpt is directly audited."
"N008","RQ1","lines 378/388-402","结果显示，开源 DBMS 项目的 Reference behavior 具有讨论场景和外部资源指向特征：IssueComment 是主要征引载体，GitHub external links 是主要被引对象，项目内部与外部 Reference evidence 并存。Project-level RefQN 的 source/target role 输出显示主动引用范围和聚合强度具有明显右偏，target-side weight 也集中于少数项目；无向视图的局部聚集、模块度和算法社区结果提供了结构性观察。就 RQ3 而言，Reference composition 仅呈现 descriptive differences，在两种 label mode 下均无 FDR-supported group difference；selected RefQ role/local-structure/project-age features 仅在 include_mixed 下达到阈值，整体结果表现为 local and label-mode sensitive。上述结果只应理解为 GitHub 可观测 Reference evidence、GH_CoRE 抽取规则和 seed-centered observed RefQN 边界内的经验观察。","结果显示，开源 DBMS 项目的 Reference behavior 具有讨论场景和外部资源指向特征：IssueComment 是主要征引载体，GitHub external links 是主要被引对象，项目内部与外部 Reference evidence 并存。Project-level RefQN 的 source/target role 输出显示主动引用范围和聚合强度具有明显右偏，target-side weight 也集中于少数项目；无向视图的局部聚集、模块度和算法社区结果提供了结构性观察。就 RQ3 而言，Reference composition 仅呈现 descriptive differences，在两种 label mode 下均无 FDR-supported group difference；selected RefQ role/local-structure/project-age features 仅在 include_mixed 下达到阈值，整体结果表现为 local and label-mode sensitive。上述结果只应理解为 GitHub 可观测 Reference evidence、GH_CoRE 抽取规则和 seed-centered observed RefQN 边界内的经验观察。","结果显示，开源 DBMS 项目的 Reference behavior 具有讨论场景和外部资源指向特征：IssueComment 是主要征引载体，GitHub external links 是主要被引对象，项目内部与外部 Reference evidence 并存。Project-level RefQN 的 source/target role 输出显示主动引用范围和聚合强度具有明显右偏，target-side weight 也集中于少数项目；无向视图的局部聚集、模块度和 Louvain 算法社区结果提供了结构性观察。就 RQ3 而言，Reference composition 仅呈现 descriptive differences，在两种 label mode 下均无 FDR-supported group difference；selected RefQ role/local-structure/project-age features 仅在 include_mixed 下达到阈值，整体结果表现为 local and label-mode sensitive。上述结果只应理解为 GitHub 可观测 Reference evidence、GH_CoRE 抽取规则和 seed-centered observed RefQN 边界内的经验观察。","outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv","event_type=IssueCommentEvent;event_type=PushEvent;event_type=PullRequestEvent;event_type=IssuesEvent;event_type=ReleaseEvent;event_type=PullRequestReviewEvent;event_type=PullRequestReviewCommentEvent;event_type=CommitCommentEvent","INTEGER_FORMAT;PERCENT_X100_ROUND_2","YES","PASS_EXACT_CLOSURE","Complete source-event table rows are literal excerpts."
"N009","RQ1","lines 413-427","- **被引实体（Referenced Entity）**：被引用的资源对象，除了征引实体的类型外，还包括GitHub_Service_External_Links、PullRequest、Actor、Commit、Issue等，用于刻画开发者在协作语境中的外部资源偏好。","- **被引实体（Referenced Entity）**：被引用的资源对象，除了征引实体的类型外，还包括GitHub_Service_External_Links、PullRequest、Actor、Commit、Issue等，用于刻画开发者在协作语境中的外部资源偏好。","- **被引实体（Referenced Entity）**：被引用的资源对象，除了征引实体的类型外，还包括GitHub_Service_External_Links、PullRequest、Actor、Commit、Issue等，用于刻画开发者在协作语境中的外部资源偏好。","outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv","entity_type=GitHub_Service_External_Links;entity_type=PullRequest;entity_type=Actor;entity_type=Issue;entity_type=Commit","INTEGER_FORMAT;PERCENT_X100_ROUND_2","YES","PASS_EXACT_CLOSURE","N009 stale wording defect is corrected by authority-backed target rows."
"N010","RQ1","lines 432/439","- **自引率（Self-Reference Ratio）**：项目自引用次数占总引用数的比例（自引率 = 项目自引用次数 / 项目总引用次数 × 100%），度量项目内部 Reference context 的集中程度；","- **自引率（Self-Reference Ratio）**：项目自引用次数占总引用数的比例（自引率 = 项目自引用次数 / 项目总引用次数 × 100%），度量项目内部 Reference context 的集中程度；","- **自引率（Self-Reference Ratio）**：项目自引用次数占总引用数的比例（自引率 = 项目自引用次数 / 项目总引用次数 × 100%），度量项目内部 Reference context 的集中程度；","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","metric=self_reference_ratio","PERCENT_X100_ROUND_2;ROUND_4","NO","PASS_EXACT_CLOSURE","Ratio display is explicitly transformed from frozen decimal values."
