location,exact_text,class,authority,authority_key_or_row,verification_status,notes
abstract core-flow paragraph,"294 seeds; 3,748,078 scanned; 3,747,958 admitted; 1,586,047 quotient-eligible; 6,506 nodes; 6,505 edge-observed; 9,884 directed edges; 289 self-loops; 9,595 cross-project edges; 9,547 undirected edges; 6,367/9,462 LCC",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json",core flow and graph-scale fields,PASS,All record node edge and weight units remain explicit
method scope paragraph,"294 seeds; 3,748,078 scanned; 3,747,958 admitted; 1,586,047 eligible; 6,506 node domain; 6,505 edge-observed; 9,884 edges; 289 self-loops; 9,595 cross-project; 6,367 LCC nodes; 9,462 LCC edges",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/membership_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json",scope and construction fields,PASS,Population separation explicit
section 3.1.1 inclusion criteria,"2023; at least 10 Issue discussions or Pull Request submissions",METHOD_CONFIGURATION,manuscript frozen method definition,study year and inclusion threshold,PASS,No configuration change
section 3.1.1 integrated sample paragraph,"294 seed projects; 3,748,078 scanned; 3,747,958 admitted; 1,586,047 eligible; 6,506/6,505 nodes; 9,884/9,595 edges",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv",sample construction and L8 chain,PASS,Frozen L8 semantics retained once in the local passage
method data-scope table,"3,748,078 scanned; 3,747,958 admitted; 294 seeds; 1,586,047 project-mappable records; 6,506/6,505 nodes; 9,884/9,595 edges; 6,367/9,462 LCC; 9,510 directed sensitivity edges",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json",scope-table current rows,PASS,Unchanged from reconciled input
Table 4.1 and retained result prose,"IssueComment 1,816,696 / 48.47%; Push 1,165,990 / 31.11%; PullRequest 335,530 / 8.95%; Issue 168,876 / 4.51%; Other 260,866 / 6.96%; Total 3,747,958",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/event_type_x_quotient_eligibility.csv",source-event distribution and compact aggregation,PASS,Result-keypoint semantics merged without adding values
Table 4.2 and retained result prose,"External Links 1,629,327 / 43.47%; PullRequest 671,986 / 17.93%; Actor 475,651 / 12.69%; Issue 281,648 / 7.51%; Commit 255,009 / 6.80%; Other 434,337 / 11.59%; Total 3,747,958",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/target_entity_type_x_quotient_eligibility.csv",target-entity distribution and compact aggregation,PASS,Result-keypoint semantics merged without adding values
section 4.1.1 self-reference result prose,"n=294; mean 41.82%; median 39.47%; std 23.89%; Q1 25.75%; Q3 59.06%; WiredTiger 15,332 total / 12,891 self / 84.08%; SSDB 0.00%; GreatSQL 0.00%; H2 39.83%",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv; outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv","self_reference_ratio row; project_id=2944302; ideawu/ssdb; GreatSQL/GreatSQL; h2database/h2database",PASS,WiredTiger closure remains 12891/15332=84.08% display
Table 4.3 and active-issue prose,"n=294; mean 739.92; median 85.50; std 2,025.65; min 0.00; max 22,349.00; skew 6.25; kurtosis 51.99; Q1 15.00; Q3 566.00",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,active_issue_pr_count,PASS,Current profile unchanged
Table 4.4 and comment-depth prose,"n=294; mean 2.08; median 1.72; std 1.66; min 0.00; max 15.95; skew 5.36; kurtosis 36.59; Q1 1.39; Q3 2.16",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,comment_per_issue,PASS,Current profile unchanged
