gate_id,phase,condition,expected_value,failure_label,blocking,evidence_artifact,human_review_required
C0,DESIGN,implementation worktree is clean before correction branch creation,clean and no unrelated paths modified,BLOCKED_DIRTY_WORKTREE,YES,git status --short,YES
C1,DESIGN,historical anchor is an ancestor and freeze tag resolves to approved commit,68d001551359d120bf2a06cc5e571742df7e7822 and tag chapter5-refq-freeze-v1.0,BROKEN_HISTORICAL_ANCHOR,YES,git ancestry and tag inspection,YES
C2,C1,raw event input hashes match the documented frozen source snapshot,all declared raw files SHA-256 identical to baseline,RAW_INPUT_HASH_MISMATCH,YES,raw input hash manifest,YES
C3,C1,raw events expose authoritative repository identity,repo_id and repo_name available on every event used for relation derivation or explicitly classified missing,RAW_REPOSITORY_FIELD_MISSING,YES,raw field coverage report,YES
C4,C1,relation event join integrity,each relation event_id joins exactly one raw event row within the declared snapshot,EVENT_REPO_JOIN_INTEGRITY_FAIL,YES,relation_raw_join_audit.csv,YES
C5,C1,relation provenance invariant,relation.event_repo_id == joined raw_event.repo_id whenever raw repo_id exists,EVENT_REPO_PROVENANCE_DRIFT,YES,relation schema validation report,YES
C6,C1,relation schema completeness,event_repo_id and event_repo_name present with declared types and null policy,RELATION_SCHEMA_GATE_FAIL,YES,corrected relation schema report,YES
C7,C2,Fireproof historical candidate scope,120 candidate Reference records associated with event_repo_id 600271677 in the 679889516 evidence context,UNEXPECTED_FIREPROOF_SCOPE,YES,Fireproof candidate diff report,YES
C8,C2,Fireproof source admission,all rows with event_repo_id 600271677 and expected seed 679889516 classified OUT_OF_SEED_SOURCE_OBSERVATION before membership; no manual quotient total assumed,SOURCE_ADMISSION_SCOPE_FAIL,YES,source observation admission audit,YES
C9,C2,Fireproof valid-source control,rows with event_repo_id 679889516 remain admissible subject to existing Reference and membership rules,VALID_FIREPROOF_SOURCE_REJECTED,YES,source observation admission audit,YES
C10,C2,unaffected seed semantic no-drift,293 other seeds have no unexpected relation-row loss/addition, repository-ID drift, target parsing drift, type drift, or category drift,zero unexpected differences,UNEXPECTED_MULTI_SEED_IMPACT,YES,unaffected_seed_no_drift.csv,YES
C11,C2,source admission mismatch after filtering,retained admissible source rows have event_repo_id == expected seed ID and source_seed_membership_mismatch == 0,SOURCE_SEED_MISMATCH_AFTER_ADMISSION,YES,source admission and membership audit,YES
C12,C2,seed boundary,expected candidate count 301 and analysis seed count 294 with identical seed IDs and order to frozen manifest,301 and 294 unchanged,UNEXPECTED_SEED_SET_CHANGE,YES,candidate and analysis seed manifest diff,YES
C13,C2,target policy,historical or related repositories remain eligible as expanded targets when target identity is project-mappable; no requirement that target be one of 294 seeds,target asymmetry preserved,UNEXPECTED_TARGET_POLICY_CHANGE,YES,target identity policy audit,YES
C14,C2,membership registry,after source admission all retained project-mappable endpoints have unique membership and no new conflicts,conflicting entities unchanged or zero new conflicts,NEW_MEMBERSHIP_CONFLICT,YES,membership audit,YES
C15,C2,relation type and Reference counts,no unexpected relation-type drift and no unrelated Reference-record count drift,zero unrelated drift,UNEXPECTED_RELATION_RECORD_DRIFT,YES,relation content diff report,YES
C16,C2,annotation and timestamp stability,frozen annotation SHA and 294 seed repo_created_at values unchanged,annotation SHA identical; 294/294 value-chain agreement,UNEXPECTED_ANNOTATION_DRIFT,YES,annotation manifest and seed provenance CSV,YES
C17,C2,Titan separation,titan-nosql 157514605 is not altered or mixed into the Fireproof correction,zero Titan correction changes,UNAUTHORIZED_TITAN_CHANGE,YES,Titan identity control report,YES
C18,C2,repo_created_at separation,no GitHub API refresh or timestamp reconstruction,zero refresh operations; frozen values reused,UNAUTHORIZED_TIMESTAMP_REFRESH,YES,run log and manifest,YES
C19,C3,candidate P0 execution authorization,all C2 blocking gates PASS and explicit human authorization recorded,authorized only after candidate gate,UNAUTHORIZED_P0_EXECUTION,YES,phase authorization record,YES
C20,C3,candidate P0 output root,new v2 output root only and no writes to frozen v1 root,outputs/reference_quotient_p0_corrected_v2 only,FROZEN_OUTPUT_OVERWRITE,YES,output path manifest,YES
C21,C3,old/new scientific comparison,all required metric and RQ output comparisons completed and labeled expected local change or unexpected global change,no unreviewed unexpected global drift,SCIENTIFIC_DIFF_UNREVIEWED,YES,old_new_scientific_comparison_v2.csv,YES
C22,C4,supplemental rerun decision,each S1-S7 classified from actual corrected dependency hashes,explicit decision for every S1-S7,UNJUSTIFIED_SUPPLEMENTAL_RERUN,YES,supplemental dependency decision matrix,YES
C23,C5,corrected freeze,corrected outputs, manifest, config, and provenance are internally consistent and reviewed,new version freeze approved,UNAPPROVED_CORRECTED_FREEZE,YES,corrected manifest and tag,YES
C24,C6,manuscript and figure release,corrected baseline frozen and all required supplemental reruns complete,release hold removed only after C23,PREMATURE_MANUSCRIPT_UPDATE,YES,manuscript/figure release record,YES
