execution_id,source_section,old_exact_excerpt,final_exact_excerpt,change_reason,scientific_authority,authority_key_or_row,presentation_decision,numeric_transform,semantic_boundary,verification_status,notes
E001,abstract,"在观测窗口的 GitHub 协作记录中，本文识别并保留 3,748,078 条有效 Reference records；Project-level RefQN 的完整节点域为 6,515 个项目","观测窗口共扫描 3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条具有可唯一映射到项目的 target endpoint，因而满足 quotient eligibility 并进入 Project-level RefQ aggregation；Project-level RefQN 的完整节点域为 6,506 个项目","scope and numeric correction","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv","3748078;3747958;1586047;6506","KEEP_OLD_PROSE_UPDATE_VALUES","current flow values","record units and quotient eligibility remain explicit","PASS","L8 concise semantics retained"
E002,method data universes,"有效 Reference records 指从上述 294 个 seed projects 的协作日志中抽取并校验得到的 3,748,078 条 Reference records","scanned input Reference records 指观测窗口中扫描到的 3,748,078 条输入记录；经过 source-admission 后得到 3,747,958 条 admitted source-observation records","population separation","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","scanned_input_rows;retained_reference_records","KEEP_OLD_PROSE_UPDATE_VALUES","3748078 -> 3747958","scanned versus admitted records","PASS","No entity or edge count substitution"
E003,method quotient universe,"Project-level RefQN ... 6,515 个项目节点，其中 6,514 个节点有边观测","quotient-eligible records 为其中可唯一映射到项目端点的 1,586,047 条记录，聚合后形成 Project-level RefQN；该网络完整节点域包含 6,506 个项目节点，其中 6,505 个节点有边观测","current P0-v3 scope","outputs/reference_quotient_p0_corrected_v3/membership_audit.json; quotient_construction_audit.json","quotient_eligible_records;refq_node_domain;refq_edge_observed_nodes","KEEP_OLD_PROSE_UPDATE_VALUES","current fields","project-mappable records are distinct from admitted records","PASS",""
E004,method graph scale,"6,515 个 Project-level RefQN 节点域；6,514 个 edge-observed 节点","6,506 个 Project-level RefQN 节点域；6,505 个 edge-observed 节点","graph scale correction","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","refq_node_domain;refq_edge_observed_nodes","KEEP_CURRENT_SCIENCE","6515/6514 -> 6506/6505","node domain versus observed nodes","PASS",""
E005,method terminology,"社区互动强度；社区规模","协作互动强度；协作规模","QA terminology correction","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","metric labels","RETAIN_QA_CORRECTION","none","協作 metrics remain descriptive","PASS",""
E006,method RQ2c,"社区结构和 structural brokerage 候选分析","Louvain 算法社区结构和 structural brokerage 候选分析","algorithmic community boundary","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","algorithmic_communities;modularity","KEEP_OLD_PROSE_UPDATE_VALUES","terminology only","communities are algorithmic partitions","PASS",""
E007,Table 4.1,"IssueComment | 1,816,751 | 48.47","IssueComment | 1,816,696 | 48.47","current event distribution","outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv","IssueComment;Push;PullRequest;Issue","RESTORE_COMPACT_CORRECT_VALUES","current admitted denominator","admitted Reference records","PASS","Other=260866"
E008,RK001,"IssueComment 以 48.47% ... 1,816,751 条引用记录","IssueComment 以 48.47% ... 1,816,696 条 IssueComment 引用记录支持","retain result keypoint with corrected value","outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv","RK001","RETAIN_SEMANTICALLY","1816751 -> 1816696","descriptive evidence only","PASS",""
E009,Table 4.2,"GitHub_Service_External_Links | 1,629,357 | 43.47","GitHub_Service_External_Links | 1,629,327 | 43.47","current target distribution","outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv","GitHub_Service_External_Links;PullRequest;Actor;Issue;Commit","RESTORE_COMPACT_CORRECT_VALUES","current admitted denominator","fine-grained target entity types","PASS","Other=434337"
E010,RK002,"External Links 为 1,629,357 条","计数为 1,629,327 条","retain result keypoint with corrected value","outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv","RK002","RETAIN_SEMANTICALLY","1629357 -> 1629327","no dependency or importance inference","PASS",""
