forensic_id,semantic_claim_id,manuscript_version,section,location,exact_text,composite_class,displayed_numbers,numerator_or_components,denominator_or_total,implied_relation,exact_recomputed_value,display_transform,arithmetic_closure,population_or_universe,population_closure,authority_files,authority_keys_or_rows,authority_coherence,old_vs_qa_status,unit_semantics,current_reconciliation_action,manual_review_required,notes
F001,SCOPE_ABSTRACT_SCALE,OLD,abstract,line 8,"本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。在观测窗口的 GitHub 协作记录中，本文识别并保留 3,748,078 条有效 Reference records；Project-level RefQN 的完整节点域为 6,515 个项目，其中 6,514 个节点有边观测，形成 9,894 条含自环的有向 RefQ edges（其中 289 条为自环、9,605 条为跨项目边）。其无向派生视图包含 9,557 条边，最大连通子图包含 6,376 个节点和 9,472 条无向边。",MULTI_AUTHORITY_COMPOSITE,"294;3,748,078;6,515;6,514;9,894;289;9,605;9,557;6,376;9,472","289 self-loop edges;9,605 cross-project edges;6,376 LCC nodes","9,894 directed edges;6,515 node domain","289+9,605=9,894; LCC is a subset","9,894; 6,376/6,515=0.9786646201074444","INTEGER_FORMAT;PERCENT_X100_ROUND_2",PASS,"historical retained Reference universe; historical RefQN",FAIL,"outputs/reference_quotient_p0_frozen/quotient_construction_audit.json; outputs/reference_quotient_p0_frozen/manifest.json","historical node and edge keys",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"RECORD_COUNT; EDGE_COUNT; NODE_COUNT","replace with QA current scope",YES,"Internal historical closure only; not current authority."
F002,SCOPE_ABSTRACT_SCALE,QA,abstract,line 8,"本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描 3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。",PIPELINE_FLOW,"294;3,748,078;3,747,958;1,586,047;6,506;6,505;9,884;289;9,595;9,547;6,367;9,462","3,748,078 scanned;120 out-of-seed;289 self-loop edges;9,595 cross-project edges","3,747,958 admitted;1,586,047 eligible;6,506 nodes","3,748,078-120=3,747,958; 289+9,595=9,884; 6,367/6,506=0.9786351060559484","3,748,078; 3,747,958; 1,586,047; 0.9786351060559484","INTEGER_FORMAT; PERCENT_RATIO_EXACT",PASS,"current S1 source-admission and P0-v3 quotient universe",PASS,"supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv; outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","flow rows; quotient audit; undirected summary",MULTIPLE_FROZEN_AUTHORITIES_SAME_UNIVERSE,OLD_STALE_QA_CORRECT,"RECORD_COUNT; AGGREGATED_EDGE_WEIGHT; EDGE_COUNT","retain current scope",NO,"Exact current closure."
F003,SCOPE_METHODS_FOUR_UNIVERSES,OLD,methods,lines 101-102;113;174-176,"有效 Reference records 为 3,748,078；Project-level RefQN 为 6,515 个节点域、9,894 条有向边和 9,605 条跨项目边；最大连通子图为 6,376 个节点和 9,472 条无向去重边。",MULTI_AUTHORITY_COMPOSITE,"294;3,748,078;6,515;6,514;9,894;9,605;6,376;9,472","294 seeds;3,748,078 records;6,515 nodes;9,894 directed edges","historical effective record universe","network counts belong to historical universe","3,748,078 historical records","INTEGER_FORMAT",PASS,"historical effective-record and RefQN universe",FAIL,"outputs/reference_quotient_p0_frozen/quotient_construction_audit.json; docs/freeze/ch5_refq_p0v3_manuscript_numeric_authority_coverage_v1.csv","rows N001; N003; N007",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"record count and edge count are distinct; admitted stage omitted","replace with four current universes",YES,"Old wording omits 120 out-of-seed and 1,586,047 eligibility."
F004,SCOPE_METHODS_FOUR_UNIVERSES,QA,methods,lines 101-103;114;175-177,"scanned input Reference records 指观测窗口中扫描到的 3,748,078 条输入记录；经过 source-admission 后得到 3,747,958 条 admitted source-observation records；quotient-eligible records 为 1,586,047 条。",PIPELINE_FLOW,"3,748,078;3,747,958;1,586,047;6,506;6,505;9,884;289;9,595;6,367;9,462","3,748,078 scanned;120 out-of-seed;1,586,047 eligible","3,747,958 admitted","3,748,078-120=3,747,958","3,747,958","INTEGER_FORMAT",PASS,"current source-admission and quotient universe",PASS,"supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv; outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","flow rows; quotient audit",MULTIPLE_FROZEN_AUTHORITIES_SAME_UNIVERSE,OLD_STALE_QA_CORRECT,"all counts are Reference RECORD units","retain current wording",NO,"Population stages are explicit."
F005,SCOPE_SAMPLE_SELECTION,OLD,methods,line 113,"最终，本文筛选得到 294 个代表性 DBMS 项目作为征引侧种子样本，并在这些项目的 2023 年 GitHub 协作日志中识别 3,748,078 条有效 Reference records。",PIPELINE_FLOW,"294;2023;3,748,078","294 seed projects","3,748,078 effective records","294 seeds generate historical effective records","3,748,078","INTEGER_FORMAT",PASS,"historical effective Reference universe",FAIL,"outputs/reference_quotient_p0_frozen/quotient_construction_audit.json","historical record total",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"Reference RECORD","replace effective with scanned and admitted",YES,"Current retained count is 3,747,958."
F006,SCOPE_SAMPLE_SELECTION,QA,methods,line 114,"最终，本文筛选得到 294 个代表性 DBMS 项目作为征引侧种子样本，并在这些项目的 2023 年 GitHub 协作日志中扫描 3,748,078 条输入 Reference records；经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条可进入 project-mappable quotient 子域。",PIPELINE_FLOW,"294;2023;3,748,078;3,747,958;1,586,047","3,748,078 scanned;120 out-of-seed;1,586,047 eligible","3,747,958 admitted","3,748,078-120=3,747,958","3,747,958","INTEGER_FORMAT",PASS,"current S1 and P0-v3 universe",PASS,"supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv; outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","flow rows; quotient audit",MULTIPLE_FROZEN_AUTHORITIES_SAME_UNIVERSE,OLD_STALE_QA_CORRECT,"Reference RECORD","retain current wording",NO,"Exact current chain."
F007,SCOPE_DATA_TABLE,OLD,methods,line 174,"| 有效 Reference records | 3,748,078 条 | 从 294 个种子项目协作日志中经 GH_CoRE 抽取、校验和标准化得到 |",TOTAL_WITH_PARTITION,"294;3,748,078","294 seeds;3,748,078 records","3,748,078 effective records","294-source universe yields 3,748,078 records","3,748,078","INTEGER_FORMAT",PASS,"historical effective Reference universe",FAIL,"outputs/reference_quotient_p0_frozen/quotient_construction_audit.json","data scope row",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"Reference RECORD","replace row with scanned and admitted values",YES,"120 out-of-seed records are hidden."
F008,SCOPE_DATA_TABLE,QA,methods,line 175,"| Scanned / admitted Reference records | 3,748,078 scanned；3,747,958 admitted | 从 294 个种子项目协作日志中经 GH_CoRE 抽取、source-admission、校验和标准化得到 |",PIPELINE_FLOW,"294;3,748,078;3,747,958","3,748,078 scanned;120 out-of-seed","3,747,958 admitted","3,748,078-120=3,747,958","3,747,958","INTEGER_FORMAT",PASS,"current source-admission universe",PASS,"supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv","flow rows",MULTIPLE_FROZEN_AUTHORITIES_SAME_UNIVERSE,OLD_STALE_QA_CORRECT,"Reference RECORD","retain current row",NO,"Exact admission closure."
F009,EVENT_DISTRIBUTION_COMPACT_OR_FULL,OLD,RQ1,lines 388-395,"| IssueComment | 1,816,751 | 48.47 |; | Push | 1,166,027 | 31.11 |; | PullRequest | 335,538 | 8.95 |; | Issue | 168,892 | 4.51 |; | 其他已导出类型 | 260,870 | 6.96 |; | 合计 | 3,748,078 | 100.00 |",DISPLAY_AGGREGATION,"1,816,751;1,166,027;335,538;168,892;260,870;3,748,078;48.47%;31.11%;8.95%;4.51%;6.96%;100.00%","1,816,751;1,166,027;335,538;168,892;260,870","3,748,078","top four + Other = total","3,748,078; 260,870 = total - top four","ROUND_2_PERCENT; INTEGER_FORMAT",PASS,"historical event distribution",FAIL,"outputs/reference_quotient_p0_frozen/rq1_event_type_distribution.csv","eight historical event rows",HISTORICAL_ONLY,OLD_STALE_QA_CORRECT,"Reference RECORD distribution","replace with current complete rows",YES,"Unchanged display cases: IssueComment 48.47%; Push 31.11%; PullRequest 8.95%; Issue 4.51%; counts and denominator changed."
F010,EVENT_DISTRIBUTION_COMPACT_OR_FULL,QA,RQ1,lines 389-398,"表中占比基于 3,747,958 条 admitted source-observation records 计算。IssueComment、Push、PullRequest、Issue 是当前分布中计数最高的四类征引实体。",TOTAL_WITH_PARTITION,"1,816,696;1,165,990;335,530;168,876;96,690;72,597;52,761;38,818;48.47%;31.11%;8.95%;4.51%;2.58%;1.94%;1.41%;1.04%","1,816,696;1,165,990;335,530;168,876;96,690;72,597;52,761;38,818","3,747,958","sum of eight event rows = admitted total","3,747,958; displayed shares sum 100.01 due rounding","ROUND_2_PERCENT; INTEGER_FORMAT",PASS,"current admitted source-observation event universe",PASS,"outputs/reference_quotient_p0_corrected_v3/rq1_event_type_distribution.csv","all eight current event rows",SINGLE_FROZEN_AUTHORITY,OLD_STALE_QA_CORRECT,"Reference RECORD distribution","retain current full rows",NO,"Individual rounding is correct; 100.01 is rounding accumulation."
