table_id,nearest_heading,section,line_range,column_count,data_row_count,scientific_or_non_scientific,frozen_authority,source_rows_selected,display_transforms,schema_valid,authority_valid,status,notes
"Table 3.2 (data-scope)","数据口径说明表","#### 3.2.3 数据来源、分析口径与研究问题对应关系","171-179","7","7","SCIENTIFIC_NUMERIC","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json;supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv","scanned_input_rows;retained_reference_records;quotient_eligible_records;refq_node_domain;refq_directed_edges_including_self_loops;refq_directed_cross_project_edges;lcc_nodes;lcc_edges;directed_cross_project_edges_lcc_sensitivity","INTEGER_FORMAT;EXACT","YES","YES","PASS","All rows and columns scanned programmatically from QA manuscript."
"Table 3.4.1","","#### 3.4.1 细粒度 Reference 图与项目可映射子域","243-254","6","10","NON_SCIENTIFIC","outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv","event_type=IssueCommentEvent;event_type=PushEvent;event_type=PullRequestEvent;event_type=IssuesEvent;event_type=ReleaseEvent;event_type=PullRequestReviewEvent;event_type=PullRequestReviewCommentEvent;event_type=CommitCommentEvent","INTEGER_FORMAT;PERCENT_X100_ROUND_2","YES","NOT_REQUIRED","PASS","Entity schema table; no numeric scientific claim."
"Table 4.1","表 4.1 征引实体类型分布统计","#### 4.1.1 引用类型分布特征与 Reference evidence composition","387-396","3","8","SCIENTIFIC_NUMERIC","outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv","event_type=IssueCommentEvent;event_type=PushEvent;event_type=PullRequestEvent;event_type=IssuesEvent;event_type=ReleaseEvent;event_type=PullRequestReviewEvent;event_type=PullRequestReviewCommentEvent;event_type=CommitCommentEvent","INTEGER_FORMAT;PERCENT_X100_ROUND_2","YES","YES","PASS","All rows and columns scanned programmatically from QA manuscript."
"Table 4.2","表 4.2 被引实体类型分布统计","#### 4.1.1 引用类型分布特征与 Reference evidence composition","406-426","3","19","SCIENTIFIC_NUMERIC","outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv","entity_type=GitHub_Service_External_Links;entity_type=PullRequest;entity_type=Actor;entity_type=Issue;entity_type=Commit","INTEGER_FORMAT;PERCENT_X100_ROUND_2","YES","YES","PASS","All rows and columns scanned programmatically from QA manuscript."
"Table 4.3","表 4.3 活跃议题数分布统计","#### 4.1.2 协作特征与 comment reference density","444-446","11","1","SCIENTIFIC_NUMERIC","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","metric=active_issue_pr_count","ROUND_2;INTEGER_FORMAT","YES","YES","PASS","All rows and columns scanned programmatically from QA manuscript."
"Table 4.4","表 4.4 新增议评率分布统计","#### 4.1.2 协作特征与 comment reference density","450-452","11","1","SCIENTIFIC_NUMERIC","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","metric=comment_per_issue","ROUND_2;ROUND_4","YES","YES","PASS","All rows and columns scanned programmatically from QA manuscript."
"Table 4.5","表 4.5 新增评引率分布统计","#### 4.1.2 协作特征与 comment reference density","456-458","11","1","SCIENTIFIC_NUMERIC","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","metric=comment_reference_density","ROUND_2;ROUND_4","YES","YES","PASS","All rows and columns scanned programmatically from QA manuscript."
"Table 4.6a","表 4.6a 项目年龄与 Reference 指标的横截面关联","#### 4.1.3 Reference behavior 与项目年龄的横截面关联","472-477","5","4","SCIENTIFIC_NUMERIC","outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv","metric=self_reference_ratio;metric=external_reference_share;metric=non_project_reference_share;metric=comment_reference_density","ROUND_4;EXACT","YES","YES","PASS","All rows and columns scanned programmatically from QA manuscript."
"Table 4.6b","表 4.6b Project-level RefQN scale","#### 4.2.0 Project-level RefQN scale 与视图边界","491-496","4","4","SCIENTIFIC_NUMERIC","outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","nodes;undirected_edges;components;isolates;lcc_nodes;lcc_edges","INTEGER_FORMAT;ROUND_16","YES","YES","PASS","All rows and columns scanned programmatically from QA manuscript."
"Table 4.6c","表 4.6c RQ2a source-role quantile authority","#### 4.2a RQ2a：征引侧主动引用范围与强度","503-509","5","5","SCIENTIFIC_NUMERIC","supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2a_source_role_quantiles.csv;outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv","metric=out_degree;metric=out_strength;seed_to_seed_weight;seed_to_expanded_weight;source_concentration_hhi","INTEGER_FORMAT;ROUND_2;ROUND_4","YES","YES","PASS","All rows and columns scanned programmatically from QA manuscript."
