value,semantic_claim_id,search_occurrence_count,path,context,historical_or_current,candidate_population,candidate_semantics,paired_values_found,origin_classification,current_authority_status,notes
100190,WIREDTIGER_SELF_RATIO,1,data/github_osdb_data/analysis_results/issue_referencing_metrics/df_issue_referencing_metrics.csv,"project_id=2944302; repo=wiredtiger_wiredtiger_2023; total_ref_count=100190",historical,relation-row universe,total_ref_count; issue-referencing metric,84239 not present,DERIVED_FROM_DIFFERENT_HISTORICAL_UNIVERSE,CURRENT_P0V3_AUTHORITATIVE,"Exact historical field origin for OLD denominator; not current Reference-record denominator."
100190,WIREDTIGER_SELF_RATIO,1,docs/freeze/ch5_refq_repository_identity_correction_c2_relation_diff_v1.csv,"WiredTiger row: relation_rows_v1=100190; relation_rows_v2=100190; reference_rows_v1/v2=15332",historical,C2 relation-row comparison,relation_rows_v1; relation_rows_v2,84239 not present,DERIVED_FROM_DIFFERENT_HISTORICAL_UNIVERSE,CURRENT_P0V3_AUTHORITATIVE,"Confirms relation-row versus Reference-row universe split."
100190,WIREDTIGER_SELF_RATIO,1,docs/freeze/ch5_refq_repository_identity_correction_c2_source_admission_v1.csv,"WiredTiger row: relation_rows=100190; reference_rows=15332",historical,C2 source-admission candidate,relation_rows; reference_rows,84239 not present,DERIVED_FROM_DIFFERENT_HISTORICAL_UNIVERSE,CURRENT_P0V3_AUTHORITATIVE,"Historical candidate receipt; not current authority."
100190,WIREDTIGER_SELF_RATIO,2,C:\Users\10651\Documents\trae_projects\thesis\ch5_analysis_reference_coupling_for_osdbms\第5章-paper1_content_v1.4.3.1_reference_quotient_citation_precision_clean.md,"OLD lines 434 and 440 pair 100,190 with 84,239 and 84.08%",historical,OLD manuscript self-reference example,OLD total; OLD self,84239 paired in both lines,TRANSCRIPTION_OR_MANUSCRIPT_ONLY,CURRENT_P0V3_AUTHORITATIVE,"External manuscript is read-only and not git-tracked."
84239,WIREDTIGER_SELF_RATIO,2,C:\Users\10651\Documents\trae_projects\thesis\ch5_analysis_reference_coupling_for_osdbms\第5章-paper1_content_v1.4.3.1_reference_quotient_citation_precision_clean.md,"OLD lines 434 and 440: 84,239 self references out of 100,190",historical,OLD manuscript self-reference example,self-reference numerator,84239 paired with 100190,TRANSCRIPTION_OR_MANUSCRIPT_ONLY,CURRENT_P0V3_AUTHORITATIVE,"No exact 84,239 field found in tracked data, outputs, supplemental files, scripts, docs or tests."
84239,WIREDTIGER_SELF_RATIO,2,docs/freeze/ch5_refq_p0v3_manuscript_migration_diff_v1.patch,"Removed OLD sentence and result bullet retain 84,239",historical,migration audit patch,OLD manuscript numerator,84239 paired with 100190,TRANSCRIPTION_OR_MANUSCRIPT_ONLY,CURRENT_P0V3_AUTHORITATIVE,"Patch is provenance evidence, not scientific output."
84239,WIREDTIGER_SELF_RATIO,1,docs/freeze/ch5_refq_p0v3_manuscript_migration_execution_ledger_v1.csv,"N011 OLD text records 100,190/84,239",historical,migration ledger,OLD manuscript numerator,84239 paired with 100190,TRANSCRIPTION_OR_MANUSCRIPT_ONLY,CURRENT_P0V3_AUTHORITATIVE,"Ledger maps to corrected 15332/12891."
84239,WIREDTIGER_SELF_RATIO,1,docs/freeze/ch5_refq_p0v3_manuscript_migration_execution_ledger_v2.csv,"N011 OLD exact text records 100,190/84,239",historical,migration ledger,OLD manuscript numerator,84239 paired with 100190,TRANSCRIPTION_OR_MANUSCRIPT_ONLY,CURRENT_P0V3_AUTHORITATIVE,"Ledger maps to corrected profile row."
1586117,REFQN_SCALE_WEIGHT_EDGES,1,docs/ch5_refq_final_supplemental_human_decision_summary_v2.md,"historical supplemental summary: quotient-eligible records=1,586,117",historical,historical supplemental quotient universe,total quotient-eligible/evidence weight,1586117 paired with 1447073 and 139044,EXACT_HISTORICAL_AUTHORITY_FOUND,CURRENT_P0V3_AUTHORITATIVE,"Superseded by corrected P0-v3 1586047."
1586117,REFQN_SCALE_WEIGHT_EDGES,2,docs/freeze/ch5_refq_p0v3_manuscript_migration_execution_ledger_v1.csv,"migration coverage records old total weight 1,586,117",historical,OLD manuscript authority mapping,total evidence weight,1586117 paired with 1447073 and 139044,EXACT_HISTORICAL_AUTHORITY_FOUND,CURRENT_P0V3_AUTHORITATIVE,"Historical authority is internally closed but stale."
