file_path,classification,current_evidence,proposed_action,authority,scientific_logic_class,risk_level
supplemental/reference_quotient_v2/configs/supplemental_v2_corrected.yaml,CREATE,"v1 config points to frozen P0","Create corrected roots hashes seeds and no-overwrite rules",corrected P0 manifest,VERSIONING_ONLY;PROVENANCE_BOUNDARY_ENFORCEMENT,MEDIUM
supplemental/reference_quotient_v2/scripts/paths.py,CREATE,"v1 paths hard-coded at run_supplemental.py:34-39","Create root resolution and historical-root rejection",none,PROVENANCE_BOUNDARY_ENFORCEMENT,HIGH
supplemental/reference_quotient_v2/scripts/schema.py,CREATE,"v1 RAW_USECOLS omits provenance at common.py:22-26","Create schema validation normalization nullability and indexes",corrected aggregate,PROVENANCE_BOUNDARY_ENFORCEMENT,HIGH
supplemental/reference_quotient_v2/scripts/s1_adapter.py,CREATE,"v1 S1 has no corrected status-aware admission adapter","Validate the four allowed statuses against identity/mismatch conditions; retain all Reference rows in reference_provenance_staging; expose admitted_reference_records view only",corrected aggregate,PROVENANCE_BOUNDARY_ENFORCEMENT,HIGH
supplemental/reference_quotient_v2/scripts/s1_evidence_universe.py,CREATE,"v1 S1 writes S7 at run_supplemental.py:298-300 and lacks audit/analytical separation","Count all statuses from audit staging; consume only admitted_reference_records for membership/cross-tabs/eligibility/edge classes; no S7 write or reselection",corrected aggregate,IMPLEMENTATION_ONLY;PROVENANCE_BOUNDARY_ENFORCEMENT,HIGH
supplemental/reference_quotient_v2/scripts/s2_weight_sensitivity.py,CREATE,"v1 run_s2:306-321 reads historical P0 and constants","Directed threshold before collapse; corrected summary-derived controls",corrected P0 edges,IMPLEMENTATION_ONLY,MEDIUM
supplemental/reference_quotient_v2/scripts/s3_observation_sensitivity.py,CREATE,"v1 run_s3:324-364 reads historical P0","Use shared network_views.py and corrected edges",corrected P0 edges;shared network_views.py,IMPLEMENTATION_ONLY,MEDIUM
supplemental/reference_quotient_v2/scripts/s4_community_stability.py,CREATE,"v1 run_s4:366-401 hard-codes historical 34","Configured runs and corrected comparison",corrected v2 graph,IMPLEMENTATION_ONLY;TEST_ONLY,MEDIUM
supplemental/reference_quotient_v2/scripts/s5_brokerage_stability.py,CREATE,"v1 run_s5 emits deprecated frequency","Corrected rank and inclusion-frequency authority with closure",corrected v2 graph,AUTHORITY_CLEANUP;IMPLEMENTATION_ONLY,MEDIUM
supplemental/reference_quotient_v2/scripts/s6_figure_ready.py,CREATE,"v1 run_s6 historical fallback and JSON authority","Corrected-source-only derivations and structural_summary.csv",corrected P0 plus v2 S4/S5,AUTHORITY_CLEANUP;PROVENANCE_BOUNDARY_ENFORCEMENT,HIGH
supplemental/reference_quotient_v2/scripts/manifest.py,CREATE,"v1 manifest lacks v2 SHA/source-root closure","Record roots hashes transforms seeds runtime and S7 status",v2 sources,VERSIONING_ONLY;TEST_ONLY,MEDIUM
supplemental/reference_quotient_v2/scripts/run_supplemental_v2.py,CREATE,"v1 main:641-663 is monolithic and has S7 side effect","Gated separately invokable C4-S1..C4-S6 DAG; block all S7 writes/reselection; compute S7 KEEP status only from empty source/target/edge set intersections",none,IMPLEMENTATION_ONLY;PROVENANCE_BOUNDARY_ENFORCEMENT,HIGH
supplemental/reference_quotient_v2/tests/test_supplemental_v2.py,CREATE,"v1 tests use historical numeric validity","Test four-status consistency unknown-status fail-closed audit-staging retention analytical-view exclusion and empty-intersection S7 KEEP logic in addition to semantic/corrected/historical tests",none,TEST_ONLY,MEDIUM
supplemental/reference_quotient_v2/outputs/manifest.json,CREATE,"No v2 output exists","Create only after separately authorized execution; never overwrite v1",v2 outputs,VERSIONING_ONLY,MEDIUM
script/ch5_reference_quotient/network_views.py,KEEP,"Shared canonical network functions","Reuse as S3 authority without historical output dependency",shared code,IMPLEMENTATION_ONLY;TEST_ONLY,MEDIUM
script/build_dataset/repository_identity_provenance.py,KEEP,"Identity/admission contract at lines 26-301","Reuse definitions; no new event rejoin",corrected aggregate,PROVENANCE_BOUNDARY_ENFORCEMENT;TEST_ONLY,HIGH
script/ch5_reference_quotient/pipeline.py,KEEP,"Corrected P0 admission-before-membership at lines 78-459","Read only; do not run or modify",corrected P0,VERSIONING_ONLY,MEDIUM
script/ch5_reference_quotient/config.py,KEEP,"Strict P0 validation at lines 81-95","Use as evidence; v2 has independent guards",corrected P0 config,VERSIONING_ONLY,MEDIUM
configs/ch5_reference_quotient_p0_v2.yaml,KEEP,"Corrected strict-identity config","Read/hash only; do not modify",corrected P0 config,VERSIONING_ONLY,MEDIUM
outputs/reference_quotient_p0_corrected_v2/,KEEP,"Manifest PASS and corrected aggregate fields","Immutable corrected P0 input authority",corrected P0 root,PROVENANCE_BOUNDARY_ENFORCEMENT,HIGH
outputs/reference_quotient_p0_frozen/,KEEP,"Historical P0 output","Comparison-only; never corrected executable authority",historical archive,VERSIONING_ONLY,HIGH
supplemental/reference_quotient_v1/configs/supplemental_v1.yaml,KEEP,"Historical config points to frozen P0","Preserve; never use as v2 config",historical archive,VERSIONING_ONLY,HIGH
supplemental/reference_quotient_v1/scripts/common.py,KEEP,"Historical RAW_USECOLS and helpers","Preserve; no v2 historical constants or paths",historical archive,AUTHORITY_CLEANUP,MEDIUM
supplemental/reference_quotient_v1/scripts/run_supplemental.py,KEEP,"Hard-coded historical roots and S7 side effect","Preserve as archive; exclude from v2 path",historical archive,VERSIONING_ONLY,HIGH
supplemental/reference_quotient_v1/tests/test_supplemental.py,KEEP,"Historical numeric assertions","Preserve; add separate v2 suite",historical archive,TEST_ONLY,MEDIUM
supplemental/reference_quotient_v1/v1_1_completion/run_completion.py,KEEP,"Historical roots and old RAW_USECOLS","Preserve as evidence; do not import",historical archive,VERSIONING_ONLY,HIGH
supplemental/reference_quotient_v1/v1_2_s3_reproducibility_patch/patch_s3.py,KEEP,"Shared helper but historical P0 input","Preserve as comparison evidence only",historical archive,AUTHORITY_CLEANUP,MEDIUM
supplemental/reference_quotient_v1/outputs/S5_brokerage_stability/brokerage_topk_frequency.csv,DEPRECATE_AS_ACTIVE_AUTHORITY,"Historical per-run membership semantics","Exclude from corrected consumption/emission; leave immutable",historical archive,AUTHORITY_CLEANUP,MEDIUM
supplemental/reference_quotient_v1/v1_1_completion/outputs/S5_brokerage_stability/brokerage_topk_inclusion_frequency.csv,KEEP,"Historical v1.1 frequency extension","Comparison-only; recompute under corrected v2",historical archive,AUTHORITY_CLEANUP,MEDIUM
supplemental/reference_quotient_v1/outputs/S6_figure_ready/structural_summary.json,DEPRECATE_AS_ACTIVE_AUTHORITY,"Historical wrong-extension CSV-content file","Exclude from v2 discovery; leave immutable",historical archive,AUTHORITY_CLEANUP,MEDIUM
supplemental/reference_quotient_v1/outputs/S6_figure_ready/figure_ready_manifest.json,DEPRECATE_AS_ACTIVE_AUTHORITY,"Historical S6 manifest","Exclude from v2 discovery; leave immutable",historical archive,AUTHORITY_CLEANUP,MEDIUM
supplemental/reference_quotient_v1/v1_1_completion/outputs/S6_figure_ready/structural_summary.csv,KEEP,"Historical v1.1 CSV extension","Comparison-only; v2 emits its own CSV",historical archive,AUTHORITY_CLEANUP,MEDIUM
supplemental/reference_quotient_v1/v1_1_completion/outputs/S6_figure_ready/figure_ready_manifest_v1_1.json,DEPRECATE_AS_ACTIVE_AUTHORITY,"Historical v1.1 manifest","Exclude from v2 discovery; leave immutable",historical archive,AUTHORITY_CLEANUP,MEDIUM
supplemental/reference_quotient_v1/outputs/S7_top_evidence_composition/,KEEP,"Historical fixed-object S7 outputs","No v2 S1-S6 writes; only KEEP verification",historical archive,PROVENANCE_BOUNDARY_ENFORCEMENT,HIGH
docs/freeze/ch5_refq_c3_6b_corrected_supplemental_patch_design_v1.md,CREATE,"This design report","Create design specification only",documentation,TEST_ONLY,LOW
docs/freeze/ch5_refq_c3_6b_corrected_supplemental_patch_matrix_v1.csv,CREATE,"This matrix","Create machine-readable file plan",documentation,TEST_ONLY,LOW
