location,exact_text,class,authority,authority_key_or_row,verification_status,notes
abstract line 8,"3,748,078 scanned; 3,747,958 admitted; 1,586,047 quotient-eligible; 6,506 nodes; 9,884/9,595 directed edges; 9,547 undirected edges; 6,367/9,462 LCC",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv",core flow and graph scale,PASS,All units explicitly named
method line 101,"294 seeds; 3,748,078 scanned; 3,747,958 admitted; 1,586,047 eligible; 6,506 node domain; 6,505 edge-observed; 9,884 edges; 9,595 cross-project; 6,367 LCC nodes; 9,462 LCC edges",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; membership_audit.json; rq2c_undirected_view_summary.json",core scope fields,PASS,Population separation explicit
method line 109,"2023; at least 10 Issue discussions or Pull Request submissions",METHOD_CONFIGURATION,manuscript method definition,study year and inclusion threshold,PASS,Configuration not a result
method line 114,"294 seed projects; 3,748,078 scanned; 3,747,958 admitted; 1,586,047 eligible; 6,506/6,505 nodes; 9,884/9,595 edges",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json",sample and graph construction,PASS,Repeated current result
L8 paragraph line 116,"3,747,958 Reference records; 1,586,047 uniquely project-mappable target endpoints",SCIENTIFIC_RESULT,"supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv",admitted and quotient-eligible chain,PASS,Frozen concise wording
Table 4.1 rows,"IssueComment 1,816,696; Push 1,165,990; PullRequest 335,530; Issue 168,876; Other 260,866; Total 3,747,958",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv,event distribution and compact aggregation,PASS,Shares use admitted denominator
Table 4.2 rows,"External Links 1,629,327; PullRequest 671,986; Actor 475,651; Issue 281,648; Commit 255,009; Other 434,337; Total 3,747,958",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv,target distribution and compact aggregation,PASS,Shares use admitted denominator
Table 4.3 row,"n=294; mean 739.92; median 85.50; std 2,025.65; max 22,349.00",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,active_issue_num,PASS,Current descriptive profile
Table 4.4 row,"n=294; mean 2.08; median 1.72; max 15.95",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,comment_related_id_count/active_issue_num,PASS,Current descriptive profile
Table 4.5 row,"n=294; mean 2.70; median 1.70; max 34.62",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,comment_body_ref_count/comment_related_id_count,PASS,Current descriptive profile
Table 4.6a rows,"rho=-0.1182/0.1182/0.1574/0.1417; p=0.0440/0.0440/0.0072/0.0155",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv,four association rows,PASS,Cross-sectional 2023 only
Table 4.6b rows,"6,506 node domain; 6,505 edge-observed; 9,884 directed edges; 1,586,047 weight; 9,595 cross-project edges; 138,974 cross-project weight; 9,547 undirected edges; 6,367/9,462 LCC",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; rq2c_undirected_view_summary.json",network scale,PASS,Edge counts and weights distinguished
Table 4.6c Block A,"out-degree Q1/median/Q3/max=3/11/39/352; out-strength=5/26.50/192.75/43,574; HHI=0.0563/0.1589/0.3585/1.0000; top-target share=14.46/28.45/50.00/100.00%",SCIENTIFIC_RESULT,supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2a_source_role_quantiles.csv,source-role quantiles,PASS,No computed means
Table 4.6c Block B,"seed-to-seed count 418; weight 7,630; seed-to-expanded count 9,177; weight 131,344",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv,relation partition totals,PASS,Count and weight units explicit
Table 4.6d rows,"observable targets 6,322; seed targets 110; expanded targets 6,212; in-degree median/max 1/42; in-strength median/max 2/3,430; top shares 2.47/16.00/48.99%",SCIENTIFIC_RESULT,"outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; rq2b_target_concentration.json",target-role and concentration,PASS,"Top shares use 138,974 weight denominator"
Table 4.6e rows,"undirected 6,506/9,547; components/isolate 55/30; LCC 6,367/9,462; directed sensitivity 9,510; clustering 0.04225758251235413; transitivity 0.008047960961122938; communities 35; modularity 0.7969220043681785",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,undirected summary,PASS,Algorithmic view only
RQ2c S4 prose,"community count 32--37; 42/50 ARI-to-canonical below 0.9; minimum ARI 0.6823671359861659; minimum pairwise ARI 0.6092441840471735",SCIENTIFIC_RESULT,supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json,S4 sensitivity,PASS,ACCEPT_WITH_LIMITATION
Table 4.6f rows,"ClickHouse 0.109604; OpenSearch 0.090065; Spark 0.079806; etcd 0.078377; RisingWave 0.076435",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq2c_structural_brokerage_top50.csv,brokerage top-five,PASS,Algorithmic community labels
RQ2c S5 prose,"minimum Spearman 0.9998339514284217; minimum top-50 overlap 0.82; robustness_alert=FALSE",SCIENTIFIC_RESULT,supplemental/reference_quotient_v2/outputs_p0v3/S5_brokerage_stability/brokerage_stability_summary.json,S5 stability,PASS,Conditional sampling stability
Table 4.7 rows,"10 include_mixed categories including Object Oriented and RDF",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq3_subdomain_descriptive_comparison.csv,include_mixed category rows,PASS,Complete current schema
Table 4.8 rows,"11 features with include/exclude FDR p and epsilon-squared plus cross-mode status",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,all feature rows,PASS,Displayed precision four decimals
appendix A.1,"P0 implementation 25c6ef3f49af04e916f10e129d976ce7c2119fd8; accepted result 2d284f4bc83c42ba6555a09a2e42693c5490b827; study year 2023",PROVENANCE_IDENTITY,"outputs/reference_quotient_p0_corrected_v3/manifest.json",implementation/result identity,PASS,Provenance not scientific rerun
appendix A.1,"P0 runtime Python 3.9.13 pandas 1.4.4 NumPy 1.26.4 SciPy 1.13.1 NetworkX 3.1 GH-CoRE 2.3.1; supplemental pandas 1.5.3",METHOD_CONFIGURATION,"outputs/reference_quotient_p0_corrected_v3/manifest.json; supplemental/reference_quotient_v2/outputs_p0v3/manifest.json",runtime identity,PASS,Separate runtimes retained
appendix A.1,"P0 manifest be802b9df223c99bc2089a76ae9ec6e0b6047ab0c58237a5fc3050b51dcc9776; supplemental manifest 78d07fbda2a045ba309a1cfcb23a68ca2baafa910008b6483c0c4e0acf9211bd",PROVENANCE_IDENTITY,manifest files,manifest SHA-256,PASS,Frozen package identities
appendix A.1,"S4 ACCEPT_WITH_LIMITATION; S7 KEPT_FIXED_OBJECT (G09 = PASS)",PROVENANCE_IDENTITY,"supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability; docs/freeze/ch5_refq_p0v3_s7_fixed_object_overlap_runtime_gate_v1.md",stage status,PASS,No new S7 quantitative claim
appendix A.2,"3,748,078 scanned; 3,747,958 admitted; 120 out-of-seed; 1,586,047 quotient-eligible; 9,884/9,595 edges",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json,flow and graph audit,PASS,Repeated authority
appendix A.2,"294 seeds; 6,212 expanded targets; 262 positive-out-degree; 32 zero-out-degree",SCIENTIFIC_RESULT,outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,observation boundary,PASS,Expanded targets not source-complete
numeric closure,"UNMAPPED_FINAL_SCIENTIFIC_NUMERIC_CLAIMS=0; SCIENTIFIC_VALUE_VERIFICATION_FAILURES=0",NON_SCIENTIFIC_FORMATTING,this audit,closure metrics,PASS,All scientific-result/method/provenance rows mapped
