claim_id,section,location,final_text_or_value,frozen_authority,authority_key_or_row,verification_status,notes
N001,abstract,line 8,"Keep 294 and 3,748,078 scanned; replace admitted/eligible, node, edge, weight, and LCC values with corrected anchors",outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,N001,MAPPED,actual migrated target block/paragraph verified
N002,introduction,lines 30/45/52/55/60,"294 seeds remains; expanded targets are 6,212 and not source-complete",outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,N002,MAPPED,actual migrated target block/paragraph verified
N003,methods,lines 101-102,"Use admitted 3,747,958; eligible 1,586,047; 6,506/6,505; 9,884/9,595; LCC 6,367/9,462",outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,N003,MAPPED,actual migrated target block/paragraph verified
N004,methods,lines 107-113,10 and 2023 remain; 294 remains; record flow must use corrected admitted count,configs/ch5_reference_quotient_p0_v3.yaml; outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,N004,MAPPED,actual migrated target block/paragraph verified
N005,methods,lines 123-126,Retain declared 2023 window,configs/ch5_reference_quotient_p0_v3.yaml,N005,MAPPED,actual migrated target block/paragraph verified
N006,methods,lines 212/219,294 and 500 remain fixed contract values,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/manifest.json,N006,MAPPED,actual migrated target block/paragraph verified
N007,methods,lines 173-176,"Replace with corrected scope rows including 120 out-of-seed and 1,586,047 eligible",outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv,N007,MAPPED,actual migrated target block/paragraph verified
N008,RQ1,lines 378/388-402,"Use complete current event rows: IssueCommentEvent 1,816,696; PushEvent 1,165,990; PullRequestEvent 335,530; IssuesEvent 168,876; ReleaseEvent 96,690; PullRequestReviewEvent 72,597; PullRequestReviewCommentEvent 52,761; CommitCommentEvent 38,818",outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq1_referencing_entity_distribution_plot.csv,N008,MAPPED,actual migrated target block/paragraph verified
N009,RQ1,lines 413-427,"Use complete current fine-grained target rows; total remains 3,748,078",outputs/reference_quotient_p0_corrected_v3/rq1_referenced_entity_distribution.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq1_referenced_entity_distribution_plot.csv,N009,MAPPED,actual migrated target block/paragraph verified
N010,RQ1,lines 432/439,Use self_reference_ratio row: mean 0.4182140583339334; median 0.39470115950274465; q25 0.25748696506776747; q75 0.590627010326731,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,N010,MAPPED,actual migrated target block/paragraph verified
N011,RQ1,lines 434-442,"Use corrected wiredtiger/wiredtiger 0.8407905035220454 (15,332 total; 12,891 self); SSDB, GreatSQL, and H2 ratios remain file-backed",outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv,N011,MAPPED,actual migrated target block/paragraph verified
N012,RQ1,lines 452-460,Use active_issue_pr_count row: mean 739.9183673469388; median 85.5; std 2025.6475423946813; max 22349; skew 6.253823898740858; kurtosis 51.98617191839453,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,N012,MAPPED,actual migrated target block/paragraph verified
N013,RQ1,lines 468-474,Use comment_per_issue row exactly,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv,N013,MAPPED,actual migrated target block/paragraph verified
N014,RQ1,lines 480-496,Use corrected row: mean 2.695287488845773; median 1.7026388740169658; max 34.62385321100918; named examples remain file-backed,outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv; outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv,N014,MAPPED,actual migrated target block/paragraph verified
N015,RQ1,lines 507-516,Use corrected rho -0.11817282564989658/0.11817282564989658/0.15735877529004005/0.1417469559448153 and file p-values,outputs/reference_quotient_p0_corrected_v3/rq1_project_age_cross_sectional_association.csv,N015,MAPPED,actual migrated target block/paragraph verified
N016,RQ2 scale,lines 534-543/540-543,"Use 1,586,047; 138,974; 6,476; 9,510; 6,367/9,462; 0.9786351060559484 coverage",outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json; outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,N016,MAPPED,actual migrated target block/paragraph verified
N017,RQ2a,lines 547/553-559,Replace complete metric rows and S6 quantiles; preserve 294-source denominator,outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv; supplemental/reference_quotient_v2/outputs_p0v3/S6_figure_ready/rq2a_source_role_quantiles.csv,N017,MAPPED,actual migrated target block/paragraph verified
N018,RQ2a,lines 549/557-558,"Use 418/9,177 relations and weights 7,630/131,344",outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_metrics.csv,N018,MAPPED,actual migrated target block/paragraph verified
N019,RQ2a,lines 561,Replace complete top-five display from corrected top50 file,outputs/reference_quotient_p0_corrected_v3/rq2a_source_role_top50.csv,N019,MAPPED,actual migrated target block/paragraph verified
N020,RQ2b,lines 565/573-577,"Use 6,322 observable; 110 seed; 6,212 expanded; maxima remain 42 and 3,430",outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json,N020,MAPPED,actual migrated target block/paragraph verified
N021,RQ2b,lines 567/578-580,Use top_1 0.024680875559457166; top_10 0.15998676011340252; top_50 0.4899261732410379,outputs/reference_quotient_p0_corrected_v3/rq2b_target_concentration.json,N021,MAPPED,actual migrated target block/paragraph verified
N022,RQ2b,line 582,"Retain 42/14.29%; corrected metadata-unavailable target count is 6,191",outputs/reference_quotient_p0_corrected_v3/rq2b_target_role_metrics.csv; outputs/reference_quotient_p0_corrected_v3/rq2b_target_category_type_breakdown.csv,N022,MAPPED,actual migrated target block/paragraph verified
N023,RQ2c,lines 586/594-599,"Use corrected summary: 9,595; 9,547; 55/30; 6,367/9,462; clustering 0.04225758251235413; transitivity 0.008047960961122938",outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json,N023,MAPPED,actual migrated target block/paragraph verified
N024,RQ2c,lines 588/600-601,Use seed 20260731; 35 communities; modularity 0.7969220043681785; add 50-run limitation,outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json; supplemental/reference_quotient_v2/outputs_p0v3/S4_community_stability/louvain_stability_summary.json,N024,MAPPED,actual migrated target block/paragraph verified
N025,RQ2c,lines 603-613,Replace complete rows from corrected top50; community IDs are algorithmic labels,outputs/reference_quotient_p0_corrected_v3/rq2c_structural_brokerage_top50.csv,N025,MAPPED,actual migrated target block/paragraph verified
N026,RQ3,lines 617,Retain both modes and map n_with_replacement per frozen rows,outputs/reference_quotient_p0_corrected_v3/rq3_kruskal_fdr_effect_sizes.csv,N026,MAPPED,actual migrated target block/paragraph verified
