DBMS_urnform,DBMS_common_name,field_name,upstream_raw_value,local_raw_value,upstream_normalized_value,local_normalized_value,difference_class,semantic_change,scientific_materiality,provenance_class,evidence,confidence
3store,3store,github_repo_id,,-,<BLANK>,-,REPO_ID_BLANK_TO_PLACEHOLDER,NO,NO_SCIENTIFIC_EFFECT under current admission,REPRESENTATION_ONLY,Local raw value is '-' and remains invalid for numeric repository-ID admission; 38 rows also have '-' links and 2 retain nonblank links.,HIGH_SEMANTIC; LOW_ORIGIN
abhot,abhot,github_repo_id,,95753144,<BLANK>,95753144,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
acedb,AceDB,github_repo_id,,71249290,<BLANK>,71249290,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
adabas,Adabas,License_info,,ISC License,<BLANK>,ISC License,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
akumuli,Akumuli,github_repo_id,,16326644,<BLANK>,16326644,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
aodbm,AODBM,github_repo_id,,1467491,<BLANK>,1467491,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
apache-flink,Apache Flink,License_info,,Apache License 2.0,<BLANK>,Apache License 2.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
atlas,Atlas,License_info,,Apache License 2.0,<BLANK>,Apache License 2.0,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
atlas,Atlas,github_repo_id,,22631422,<BLANK>,22631422,REPO_ID_BLANK_TO_NUMERIC,YES,SEED_SELECTION_RELEVANT only if admitted; none of 32 are frozen seeds,UNRESOLVED_PROVENANCE,"Local numeric ID exists in the initial local materialization (009bd98a); link-consistent but no lookup response, manual record, or later upstream confirmation proves origin.",MEDIUM
axion,Axion,License_info,,-,<BLANK>,-,LICENSE_INFO_CHANGE,YES,NO_SCIENTIFIC_EFFECT; open_source_license unchanged,UNRESOLVED_PROVENANCE,All 39 open_source_license values are unchanged; active P0 does not read License_info for seed admission.,HIGH_CURRENT_EFFECT; LOW_ORIGIN
