change_id,section,old_location,old_exact_text,migrated_v1_exact_text,qa_exact_text,primary_change_class,secondary_change_class,scientific_authority,scientific_value_changed,semantic_boundary_changed,table_schema_changed,editorial_only,recommended_final_action,manual_review_required,reason
"N001","abstract","line 8","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。在观测窗口的 GitHub 协作记录中，本文识别并保留 3,748,078 条有效 Reference records；Project-level RefQN 的完整节点域为 6,515 个项目，其中 6,514 个节点有边观测，形成 9,894 条含自环的有向 RefQ edges（其中 289 条为自环、9,605 条为跨项目边）。其无向派生视图包含 9,557 条边，最大连通子图包含 6,376 个节点和 9,472 条无向边。","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描  3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描 3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_DATA_SCOPE_CORRECTION","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","YES","YES","NO","NO","KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING","NO","Core scope and network counts move to current P0-v3; the future sentence must use the frozen L8 semantics."
"N002","introduction","lines 30/45/52/55/60","为保证经验分析的可复核性，本文同时明确数据口径、处理链边界和 quotient construction 规则。本文区分四个相互关联但不可混用的口径。第一，**analysis seed projects** 指 294 个满足领域代表性、活跃度和许可证筛选条件的开源 DBMS 项目，它们是本文 GitHub 日志爬取和 Reference source 观测对象。第二，**有效 Reference records** 指从上述 294 个 seed projects 的协作日志中抽取并校验得到的 3,748,078 条 Reference records，它们用于 Reference entity distribution、comment reference density、自引用和 external-reference orientation 等描述性分析。第三，**Project-level RefQN** 指将 project-mappable Reference endpoints 依据 artifact-to-project membership coarsening 到 Repo/project 粒度后形成的 weighted directed quotient network；完整节点域包含 6,515 个项目节点，其中 6,514 个节点有边观测；完整有向表包含 9,894 条边（含 289 条 self-loops），跨项目视图包含 9,605 条边。第四，**最大连通子图**指 Project-level RefQN 的无向派生结构视图中用于聚类系数和社区检测等需要连通性假设的网络子图，包含 6,376 个节点和 9,472 条无向去重边。","为保证经验分析的可复核性，本文同时明确数据口径、处理链边界和 quotient construction 规则。本文区分四个相互关联但不可混用的口径。第一，**analysis seed projects** 指 294 个满足领域代表性、活跃度和许可证筛选条件的开源 DBMS 项目，它们是本文 GitHub 日志爬取和 Reference source 观测对象。第二，**scanned input Reference records** 指观测窗口中扫描到的 3,748,078 条输入记录；经过 source-admission 后得到 3,747,958 条 admitted source-observation records，用于 Reference entity distribution、comment reference density、自引用和 external-reference orientation 等描述性分析。第三，**quotient-eligible records** 为其中可映射到项目端点的 1,586,047 条记录，聚合后形成 Project-level RefQN；该网络完整节点域包含 6,506 个项目节点，其中 6,505 个节点有边观测。完整有向表包含 9,884 条边（含 289 条 self-loops），跨项目视图包含 9,595 条边。第四，**最大连通子图**指 Project-level RefQN 的无向派生结构视图中用于聚类系数和社区检测等需要连通性假设的网络子图，包含 6,367 个节点和 9,462 条无向去重边。","为保证经验分析的可复核性，本文同时明确数据口径、处理链边界和 quotient construction 规则。本文区分四个相互关联但不可混用的口径。第一，**analysis seed projects** 指 294 个满足领域代表性、活跃度和许可证筛选条件的开源 DBMS 项目，它们是本文 GitHub 日志爬取和 Reference source 观测对象。第二，**scanned input Reference records** 指观测窗口中扫描到的 3,748,078 条输入记录；经过 source-admission 后得到 3,747,958 条 admitted source-observation records，用于 Reference entity distribution、comment reference density、自引用和 external-reference orientation 等描述性分析。第三，**quotient-eligible records** 为其中可映射到项目端点的 1,586,047 条记录，聚合后形成 Project-level RefQN；该网络完整节点域包含 6,506 个项目节点，其中 6,505 个节点有边观测。完整有向表包含 9,884 条边（含 289 条 self-loops），跨项目视图包含 9,595 条边。第四，**最大连通子图**指 Project-level RefQN 的无向派生结构视图中用于聚类系数和 Louvain 算法社区检测等需要连通性假设的网络子图，包含 6,367 个节点和 9,462 条无向去重边。","REQUIRED_DATA_SCOPE_CORRECTION","REQUIRED_NUMERIC_CORRECTION","outputs/reference_quotient_p0_corrected_v3/seed_observability_audit.json","YES","YES","NO","NO","KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING","NO","The four-universe definitions replace stale effective-record and historical graph values; retain the seed-centered boundary."
"N003","methods","lines 101-102","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。在观测窗口的 GitHub 协作记录中，本文识别并保留 3,748,078 条有效 Reference records；Project-level RefQN 的完整节点域为 6,515 个项目，其中 6,514 个节点有边观测，形成 9,894 条含自环的有向 RefQ edges（其中 289 条为自环、9,605 条为跨项目边）。其无向派生视图包含 9,557 条边，最大连通子图包含 6,376 个节点和 9,472 条无向边。","为保证经验分析的可复核性，本文同时明确数据口径、处理链边界和 quotient construction 规则。本文区分四个相互关联但不可混用的口径。第一，**analysis seed projects** 指 294 个满足领域代表性、活跃度和许可证筛选条件的开源 DBMS 项目，它们是本文 GitHub 日志爬取和 Reference source 观测对象。第二，**scanned input Reference records** 指观测窗口中扫描到的 3,748,078 条输入记录；经过 source-admission 后得到 3,747,958 条 admitted source-observation records，用于 Reference entity distribution、comment reference density、自引用和 external-reference orientation 等描述性分析。第三，**quotient-eligible records** 为其中可映射到项目端点的 1,586,047 条记录，聚合后形成 Project-level RefQN；该网络完整节点域包含 6,506 个项目节点，其中 6,505 个节点有边观测。完整有向表包含 9,884 条边（含 289 条 self-loops），跨项目视图包含 9,595 条边。第四，**最大连通子图**指 Project-level RefQN 的无向派生结构视图中用于聚类系数和社区检测等需要连通性假设的网络子图，包含 6,367 个节点和 9,462 条无向去重边。","为保证经验分析的可复核性，本文同时明确数据口径、处理链边界和 quotient construction 规则。本文区分四个相互关联但不可混用的口径。第一，**analysis seed projects** 指 294 个满足领域代表性、活跃度和许可证筛选条件的开源 DBMS 项目，它们是本文 GitHub 日志爬取和 Reference source 观测对象。第二，**scanned input Reference records** 指观测窗口中扫描到的 3,748,078 条输入记录；经过 source-admission 后得到 3,747,958 条 admitted source-observation records，用于 Reference entity distribution、comment reference density、自引用和 external-reference orientation 等描述性分析。第三，**quotient-eligible records** 为其中可映射到项目端点的 1,586,047 条记录，聚合后形成 Project-level RefQN；该网络完整节点域包含 6,506 个项目节点，其中 6,505 个节点有边观测。完整有向表包含 9,884 条边（含 289 条 self-loops），跨项目视图包含 9,595 条边。第四，**最大连通子图**指 Project-level RefQN 的无向派生结构视图中用于聚类系数和 Louvain 算法社区检测等需要连通性假设的网络子图，包含 6,367 个节点和 9,462 条无向去重边。","REQUIRED_DATA_SCOPE_CORRECTION","REQUIRED_NUMERIC_CORRECTION","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","YES","YES","NO","NO","KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING","NO","Methods boundary must distinguish scanned, admitted, quotient-eligible records and corrected graph scale."
"N007","methods","lines 173-176","| Project-level RefQN | 6,515 个节点域；6,514 个 edge-observed nodes；9,894 条有向边（含 289 条自环）；9,605 条跨项目边 | 将 project-mappable Reference endpoints 按 artifact-to-project membership coarsening 为 weighted directed quotient network | source-role（含 seed-to-seed / seed-to-expanded）、target-role、项目级 RefQ 有向结构 | RQ2a/RQ2b | 是 | 包含种子项目及被引扩展节点，不是仅含 294 节点的诱导子图；source 完整观测仅限 294 个种子项目 |","| Scanned / admitted Reference records | 3,748,078 scanned；3,747,958 admitted | 从 294 个种子项目协作日志中经 GH_CoRE 抽取、source-admission、校验和标准化得到 | 引用类型分布、社区互动强度、external-reference orientation 和部分子领域比较 | RQ1；部分 RQ3 | 是 | scanned input 与 admitted observation 分开报告；限于 GitHub 可观测显式或半结构化 Reference |","| Scanned / admitted Reference records | 3,748,078 scanned；3,747,958 admitted | 从 294 个种子项目协作日志中经 GH_CoRE 抽取、source-admission、校验和标准化得到 | 引用类型分布、协作互动强度、external-reference orientation 和部分子领域比较 | RQ1；部分 RQ3 | 是 | scanned input 与 admitted observation 分开报告；限于 GitHub 可观测显式或半结构化 Reference |","REQUIRED_DATA_SCOPE_CORRECTION","REQUIRED_NUMERIC_CORRECTION","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json;supplemental/reference_quotient_v2/outputs_p0v3/S1_evidence_universe/evidence_universe_flow.csv","YES","YES","YES","NO","KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING","NO","Data-scope table row is replaced by the corrected scanned/admitted flow; this is a schema-level methods correction."
"N008","RQ1","lines 378/388-402","结果显示，开源 DBMS 项目的 Reference behavior 具有讨论场景和外部资源指向特征：IssueComment 是主要征引载体，GitHub external links 是主要被引对象，项目内部与外部 Reference evidence 并存。Project-level RefQN 的 source/target role 输出显示主动引用范围和聚合强度具有明显右偏，target-side weight 也集中于少数项目；无向视图的局部聚集、模块度和算法社区结果提供了结构性观察。就 RQ3 而言，Reference composition 仅呈现 descriptive differences，在两种 label mode 下均无 FDR-supported group difference；selected RefQ role/local-structure/project-age features 仅在 include_mixed 下达到阈值，整体结果表现为 local and label-mode sensitive。上述结果只应理解为 GitHub 可观测 Reference evidence、GH_CoRE 抽取规则和 seed-centered observed RefQN 边界内的经验观察。","结果显示，开源 DBMS 项目的 Reference behavior 具有讨论场景和外部资源指向特征：IssueComment 是主要征引载体，GitHub external links 是主要被引对象，项目内部与外部 Reference evidence 并存。Project-level RefQN 的 source/target role 输出显示主动引用范围和聚合强度具有明显右偏，target-side weight 也集中于少数项目；无向视图的局部聚集、模块度和算法社区结果提供了结构性观察。就 RQ3 而言，Reference composition 仅呈现 descriptive differences，在两种 label mode 下均无 FDR-supported group difference；selected RefQ role/local-structure/project-age features 仅在 include_mixed 下达到阈值，整体结果表现为 local and label-mode sensitive。上述结果只应理解为 GitHub 可观测 Reference evidence、GH_CoRE 抽取规则和 seed-centered observed RefQN 边界内的经验观察。","结果显示，开源 DBMS 项目的 Reference behavior 具有讨论场景和外部资源指向特征：IssueComment 是主要征引载体，GitHub external links 是主要被引对象，项目内部与外部 Reference evidence 并存。Project-level RefQN 的 source/target role 输出显示主动引用范围和聚合强度具有明显右偏，target-side weight 也集中于少数项目；无向视图的局部聚集、模块度和 Louvain 算法社区结果提供了结构性观察。就 RQ3 而言，Reference composition 仅呈现 descriptive differences，在两种 label mode 下均无 FDR-supported group difference；selected RefQ role/local-structure/project-age features 仅在 include_mixed 下达到阈值，整体结果表现为 local and label-mode sensitive。上述结果只应理解为 GitHub 可观测 Reference evidence、GH_CoRE 抽取规则和 seed-centered observed RefQN 边界内的经验观察。","REQUIRED_SEMANTIC_BOUNDARY_CORRECTION","PROSE_REWORDING_NOT_REQUIRED_BY_SCIENCE","outputs/reference_quotient_p0_corrected_v3/rq1_referencing_entity_distribution.csv","NO","YES","NO","NO","KEEP_QA_EXACT","YES","Louvain terminology is a semantic boundary correction; numeric content is unchanged and the result paragraph remains review-sensitive."
"N011","RQ1","lines 434-442","从极端项目看，自引率高于 80% 的项目占 7.48%。例如 WiredTiger 的自引率为 84.08%（100,190 条引用中 84,239 条为自引），可作为内部 Reference 占比较高的项目案例。自引率低于 20% 的项目占 19.39%，例如 SSDB 与 GreatSQL 在本文统计中的自引率均为 0.00%，可作为外部 Reference 占比较高的项目案例。H2 在本文统计中的自引率为 39.83%，不属于高自引或低自引极端项目，因此不作为极端案例讨论。","从项目 profile 看，WiredTiger 的自引率为 84.08%（15,332 条引用中 12,891 条为自引）；SSDB 与 GreatSQL 的自引率均为 0.00%，H2 的自引率为 39.83%。这些案例仅用于说明当前文件支持的分布位置，不构成项目质量或机制判断。","从项目 profile 看，WiredTiger 的自引率为 84.08%（15,332 条引用中 12,891 条为自引）；SSDB 与 GreatSQL 的自引率均为 0.00%，H2 的自引率为 39.83%。这些案例仅用于说明当前文件支持的分布位置，不构成项目质量或机制判断。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_PROVENANCE_CORRECTION","outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv","YES","NO","NO","NO","KEEP_QA_CURRENT_VALUES","NO","WiredTiger must bind to the current P0-v3 profile; historical 100190/84239 is mixed authority."
"N012","RQ1","lines 452-460","**讨论深度的项目间分化**：新增议评率的均值为 2.08，中位数为 1.72，偏度为 5.36、峰度为 36.59，提示该指标同样右偏且存在高值项目。与活跃议题数相比，新增议评率更强调单个议题内部的交互强度；因此，它补充说明协作上下文组织并不只取决于议题数量。该指标只描述当前观测窗口，不推断讨论质量或问题解决效果。","活跃议题数的均值为 739.92、中位数为 85.50、最大值为 22,349.00，偏度为 6.25、峰度为 51.99，呈现明显右偏。新增议评率的均值为 2.08、中位数为 1.72；新增评引率的均值为 2.70、中位数为 1.70。AlaSQL 的 comment reference density 为 34.6239，pubkey/rxdb 为 30.9038；这些是当前 project profile 的高值案例，不表示讨论质量或因果机制。","活跃议题数的均值为 739.92、中位数为 85.50、最大值为 22,349.00，偏度为 6.25、峰度为 51.99，呈现明显右偏。新增议评率的均值为 2.08、中位数为 1.72；新增评引率的均值为 2.70、中位数为 1.70。AlaSQL 的 comment reference density 为 34.6239，pubkey/rxdb 为 30.9038；这些是当前 project profile 的高值案例，不表示讨论质量或因果机制。","REQUIRED_NUMERIC_CORRECTION","NONE","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","YES","NO","NO","NO","KEEP_QA_CURRENT_VALUES","NO","Current descriptive-statistics row supersedes stale summary values."
"N013","RQ1","lines 468-474","**讨论深度的项目间分化**：新增议评率的均值为 2.08，中位数为 1.72，偏度为 5.36、峰度为 36.59，提示该指标同样右偏且存在高值项目。与活跃议题数相比，新增议评率更强调单个议题内部的交互强度；因此，它补充说明协作上下文组织并不只取决于议题数量。该指标只描述当前观测窗口，不推断讨论质量或问题解决效果。","活跃议题数的均值为 739.92、中位数为 85.50、最大值为 22,349.00，偏度为 6.25、峰度为 51.99，呈现明显右偏。新增议评率的均值为 2.08、中位数为 1.72；新增评引率的均值为 2.70、中位数为 1.70。AlaSQL 的 comment reference density 为 34.6239，pubkey/rxdb 为 30.9038；这些是当前 project profile 的高值案例，不表示讨论质量或因果机制。","活跃议题数的均值为 739.92、中位数为 85.50、最大值为 22,349.00，偏度为 6.25、峰度为 51.99，呈现明显右偏。新增议评率的均值为 2.08、中位数为 1.72；新增评引率的均值为 2.70、中位数为 1.70。AlaSQL 的 comment reference density 为 34.6239，pubkey/rxdb 为 30.9038；这些是当前 project profile 的高值案例，不表示讨论质量或因果机制。","REQUIRED_NUMERIC_CORRECTION","NONE","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv","YES","NO","NO","NO","KEEP_QA_CURRENT_VALUES","NO","Current comment-per-issue row is the only numeric authority."
"N014","RQ1","lines 480-496","**评论级 Reference density**：新增评引率的均值为 2.70，中位数为 1.70，偏度为 5.44、峰度为 37.11，表明少数项目具有很高的评论引用密度。AlaSQL 的值为 34.6239，pubkey/rxdb 为 30.9038，是当前项目级 profile 中的高值案例。该指标补充了“讨论深度”之外的 Reference intensity 维度；评论数量多并不必然意味着引用密度高。RQ3 的子领域检验未发现该指标经 FDR 校正后的稳健差异，因此这里仅作描述性报告。","活跃议题数的均值为 739.92、中位数为 85.50、最大值为 22,349.00，偏度为 6.25、峰度为 51.99，呈现明显右偏。新增议评率的均值为 2.08、中位数为 1.72；新增评引率的均值为 2.70、中位数为 1.70。AlaSQL 的 comment reference density 为 34.6239，pubkey/rxdb 为 30.9038；这些是当前 project profile 的高值案例，不表示讨论质量或因果机制。","活跃议题数的均值为 739.92、中位数为 85.50、最大值为 22,349.00，偏度为 6.25、峰度为 51.99，呈现明显右偏。新增议评率的均值为 2.08、中位数为 1.72；新增评引率的均值为 2.70、中位数为 1.70。AlaSQL 的 comment reference density 为 34.6239，pubkey/rxdb 为 30.9038；这些是当前 project profile 的高值案例，不表示讨论质量或因果机制。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_DATA_SCOPE_CORRECTION","outputs/reference_quotient_p0_corrected_v3/rq1_descriptive_statistics.csv;outputs/reference_quotient_p0_corrected_v3/rq1_project_reference_profiles.csv","YES","YES","NO","NO","KEEP_QA_CURRENT_VALUES","NO","High-density examples and their population must use current project profiles and admitted-record scope."
"N016","RQ2 scale","lines 534-543/540-543","Project-level RefQN 的完整节点域为 6,515，其中 6,514 个节点在含自环有向图中具有边观测，另有 1 个 zero-edge seed node。完整有向表包含 9,894 条边和总权重 1,586,117，其中 289 条为 self-loops；排除自环后得到 9,605 条 directed cross-project RefQ edges，总权重为 139,044。将跨项目边忽略方向并合并互反关系后，\(U(G_{\mathrm{RefQ}})\) 包含 9,557 条无向边。表 4.6b 汇总这些分母，后文不以 9,557 代替有向边数。","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描  3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描 3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","REQUIRED_NUMERIC_CORRECTION","REQUIRED_DATA_SCOPE_CORRECTION","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json;outputs/reference_quotient_p0_corrected_v3/rq2c_undirected_view_summary.json","YES","YES","NO","NO","KEEP_CURRENT_SCIENCE_USE_FROZEN_WORDING","NO","Corrected directed/undirected scale, weights, LCC and sensitivity counts must remain synchronized."
