stage,artifact,producer,consumer,repository_identity_field,current_problem,required_change,regenerate,expected_affected_scope,no_drift_requirement,validation_gate
S0,2023 raw event snapshot,data source materialization,GH_CoRE relation extraction,repo_id and repo_name are present on raw event rows,None for the known Fireproof defect; raw event repository identity is authoritative,No external re-query; reuse existing raw rows and hash them,NO,0 raw files,Raw bytes and event IDs unchanged,RAW_INPUT_HASH_GATE
S1,deduplicated raw event CSV,collaboration_relation_extraction.process_body_content,relation extraction,repo_id and repo_name remain on deduplicated rows,Downstream relation builder does not propagate the fields,Reuse existing deduplicated rows; verify repo fields survive,NO,0 raw files,No row loss/addition or field drift,RAW_REUSE_GATE
S2,generic GH_CoRE relation CSV,GH_CoRE get_obj_collaboration_tuples_from_record plus get_df_collaboration,granu_agg and downstream relation consumers,event_id exists; event repository fields are absent,Add event_repo_id and event_repo_name from the originating raw event record to every derived relation row,YES,all 294 seed relation files for schema propagation; semantic source impact expected in Fireproof only,Existing relation rows and all GH_CoRE parsed fields content-equivalent after excluding the two new provenance fields,RELATION_SCHEMA_GATE
S3,relation event join audit,correction adapter over raw event and relation rows,source observation view,event_id is available but relation-to-raw repository provenance is not validated,Join relation.event_id to raw.id within the same event snapshot and require exactly one raw match,YES,audit artifact only,No scientific artifact mutation; unmatched or multiply matched rows block execution,EVENT_REPO_JOIN_INTEGRITY_GATE
S4,corrected relation schema,correction adapter,aggregate builder and source admission,event_repo_id cannot be recovered from filename or caller context,Serialize canonical decimal event_repo_id and descriptive event_repo_name; preserve null only when raw field is absent and block source admission for missing identity,YES,all 294 relation files,All original relation rows retained; no target parsing or relation type drift,EVENT_REPO_FIELD_GATE
S5,RefQ source observation view,versioned source-admission adapter,P0 membership audit and profile pipeline,filename and caller repo_id currently define the apparent source boundary,Add expected_source_context_repo_id and source_admission_status; admit only event_repo_id == expected seed ID,YES,all 294 view partitions or equivalent logical view,Only Fireproof source mismatch is expected; 293 seeds have no semantic row drift,SOURCE_ADMISSION_GATE
S6,corrected granular aggregate CSV,versioned granu_agg adapter,RefQ pipeline and quotient construction,granu_agg writes R_<caller repo_id> for non-Actor sources,Write R_<event_repo_id> for non-Actor source aggregates; retain target aggregation from parsed target object properties,YES,all 294 aggregate files,For unaffected seeds source/target aggregate and fine-grained fields remain content-equivalent; historical source mismatch is exposed,AGGREGATE_PROVENANCE_GATE
S7,seed manifests,seed_selection.build_seed_manifests,P0 source observation view,seed boundary is derived from activity plus evidence filename,Reuse frozen activity and evidence boundary; do not use activity count as identity authority,NO,0 seed rows,301 candidates and 294 seeds identical; annotation and timestamps unchanged,SEED_BOUNDARY_GATE
S8,membership registry,pipeline._audit_memberships and MembershipRegistry,quotient eligibility and conflict audit,registry currently sees all relation rows in aggregate files before source admission,Run registry only on admitted source observation rows and existing target semantics,YES,corrected P0 staging only,No new conflict; retained rows satisfy unique membership, MEMBERSHIP_INVARIANT_GATE
S9,RefQ edges,pipeline._scan_evidence and edge_table.edge_frame,network views and RQ2 outputs,source aggregate can be mislabeled by caller context,Aggregate only admitted records and preserve target-expanded policy,YES,candidate P0 only,No edge construction before candidate gate; no second-order projection,QUOTIENT_ELIGIBILITY_GATE
S10,P0 candidate outputs,RefQPipeline,old/new scientific comparison,existing outputs are the historical frozen baseline,Run only in v2 output root after all candidate gates pass,YES,all P0 outputs in a new root,Historical v1 outputs byte/content unchanged,PO_CANDIDATE_RUN_GATE
S11,S1 supplemental evidence,downstream supplemental workflow,manuscript evidence package,depends on P0 evidence universe and edge artifacts,Decision is conditional on P0 input/output hashes,CONDITIONAL,only if consumed input changes,Rerun only when dependency matrix says required,SUPPLEMENTAL_DEPENDENCY_GATE
S12,S2-S7 supplemental evidence,downstream supplemental workflow,manuscript evidence package,each supplement consumes a different subset of P0 artifacts,Do not pre-authorize; classify RERUN_REQUIRED, NO_RERUN_REQUIRED, or DOCUMENTATION_ONLY,CONDITIONAL,per supplement dependency,No supplemental overwrite of frozen v1 artifacts,SUPPLEMENTAL_DEPENDENCY_GATE
S13,historical frozen P0 package,chapter5-refq-freeze-v1.0 at 68d001551359d120bf2a06cc5e571742df7e7822,replication and old/new comparison,Correction must not rewrite the historical freeze,Keep tag, commit, config, annotation, relation, aggregate, outputs, and manifest immutable,NO,0 historical artifacts,Byte/content identity required,HISTORICAL_FREEZE_GATE
S14,manuscript and figures,human-reviewed corrected result package,submission materials,scientific prose currently refers to v1 evidence baseline,Hold updates until corrected P0 and required supplements are frozen,NO,0 manuscript or figure files,No changes during protocol design or candidate stages,MANUSCRIPT_HOLD_GATE
