numeric_claim_id,section,line_or_table,exact_text,numeric_tokens,claim_class,frozen_authority,authority_key_or_row,display_transform,verification_status,notes
"QNUM0004","## 摘要","line 4","开源数据库管理系统（DBMS）生态具有长期维护、兼容性约束、扩展机制以及与标准、驱动、工具和测试资源相联系的复杂跨项目语境。许多项目间关联难以仅通过包依赖或代码调用观察。Reference Coupling 研究已经表明，GitHub cross-project references 可以形成有向、按引用次数加权的项目级网络，并用于软件生态分析 [@blincoe2015ecosystems; @blincoe2019referencecoupling]。这些显式 Reference evidence 也为包依赖和代码调用之外的项目关联提供了 additional observable evidence；但从异质细粒度 evidence 到项目级关系的构造过程，仍需要明确 membership semantics、endpoint eligibility、聚合语义和观测边界。","015;019","SCIENTIFIC_RESULT","outputs/reference_quotient_p0_corrected_v3/manifest.json","status;manifest_sha256;config_sha256","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0008","## 摘要","line 8","本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE（GitHub Collaboration Relation Extraction）处理链抽取、校验并组织协作引用关系。观测窗口共扫描 3,748,078 条输入 Reference records，经 source-admission 后保留 3,747,958 条 admitted source-observation records，其中 1,586,047 条进入 quotient-eligible project-mappable 子域；Project-level RefQN 的完整节点域为 6,506 个项目，其中 6,505 个节点有边观测，形成 9,884 条含自环的有向 RefQ edges（其中 289 条为自环、9,595 条为跨项目边）。其无向派生视图包含 9,547 条边，最大连通子图包含 6,367 个节点和 9,462 条无向边。","294;3,748,078;3,747,958;1,586,047;6,506;6,505;9,884;289;9,595;9,547;6,367;9,462","SCIENTIFIC_RESULT","outputs/reference_quotient_p0_corrected_v3/quotient_construction_audit.json","scanned_input_rows;retained_reference_records;quotient_eligible_records;refq_node_domain;refq_directed_edges_including_self_loops;refq_directed_cross_project_edges;lcc_nodes;lcc_edges","INTEGER_FORMAT","MAPPED","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0016","## 1 引言","line 16","## 1 引言","1","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0018","### 1.1 开源 DBMS 生态中的可观测 Reference evidence","line 18","### 1.1 开源 DBMS 生态中的可观测 Reference evidence","1.1","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0021","### 1.1 开源 DBMS 生态中的可观测 Reference evidence","line 21","从软件生态系统研究视角看，开源软件研究已经从单项目质量、贡献者参与和代码演化，逐步扩展到跨项目依赖、生态治理、知识扩散和社会技术协同等问题 [@francobedoya2017ossecosystems; @manikas2013ecosystemslr; @manikas2016revisitingecosystems]。在 DBMS 场景中，已有研究分别考察了 DBMS extensibility 和开源项目中的 DBMS adoption，这些工作说明扩展机制、系统适配和采用情境是可独立检验的领域问题 [@kim2025dbmsextensibility; @paiva2025dbmsadoption]。结合 DBMS 的长期维护与跨项目工具链语境，本文据此把 DBMS 作为检验协作上下文、显式 Reference 指向和项目间结构关系的垂直研究场景，而不把上述文献扩展为对所有协作动机的证明。","017;013;016;025","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0023","### 1.1 开源 DBMS 生态中的可观测 Reference evidence","line 23","DBMS 场景还具有明确的技术语义约束。已有经验工作分别展示了开源项目中的多数据库模型使用，以及 FOSS 项目的 source/schema co-evolution [@benats2021multidatabasemodels; @vassiliadis2023sourceschemaevolution]。这些已验证的领域现象与 SQL 方言、事务、复制、存储和查询处理等 DBMS 技术语境共同构成本文的研究动机，但本文不把前述两篇文献解释为已经证明所有 Reference motives。项目维护者在 Issue、Pull Request、Commit 和评论中引用其他项目、标准文档、测试用例、代码实现或历史讨论，可以留下问题定位、方案比较、依赖说明或上下文补充的可追溯证据。基于这些协作痕迹构建项目级关系，需要同时保留 Reference evidence 的方向、项目归属、聚合强度和解释边界。","021;023","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0025","### 1.2 Reference Coupling、图粗化与 Reference Quotient","line 25","### 1.2 Reference Coupling、图粗化与 Reference Quotient","1.2","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0026","### 1.2 Reference Coupling、图粗化与 Reference Quotient","line 26","本文将 Reference Coupling 保留为软件工程领域的相关构念和研究动机来源。Blincoe 等人 2015/2019 的工作已经将 GitHub cross-project references 映射为 project-level directed graph，以 project-pair cross-reference count 作为 edge weight，并将该网络用于 ecosystem/community 或 dependency-oriented analysis [@blincoe2015ecosystems; @blincoe2019referencecoupling]。这些研究还明确提醒，图的方向表示 cross-reference 的方向，并不自动等于真实 technical dependency 的语义方向。因此，本文不把 project-level aggregation、direction 或 count weighting 本身作为新颖性，也不把 Reference Coupling 直接作为本文的数学对象名称。","2015;2019;015;019","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0028","### 1.2 Reference Coupling、图粗化与 Reference Quotient","line 28","本文的数学基础来自 graph reduction/coarsening 与 quotient-network 文献。Loukas 以 surjective many-to-one vertex mapping、contraction sets 和 induced partition 说明图粗化如何把细粒度节点映射到较小的 coarse graph [@loukas2019graphreduction]；Sánchez-García 讨论了相对于 partition 的 quotient network、characteristic matrix 以及一般可为 directed and weighted 的 quotient aggregation [@sanchezgarcia2020quotientnetwork]；Xiao 等人提供了 network quotient 与结构粗化的经典背景 [@xiao2008networkquotients]。在本文中，partition 的来源不是 symmetry、automorphism、equitable partition 或 spectral optimization，而是 artifact-to-project semantic membership；RefQ 也不继承这些文献中的 symmetry 或 spectral guarantees。","019;020;008","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0030","### 1.2 Reference Coupling、图粗化与 Reference Quotient","line 30","基于上述经验先例与数学基础，本文将细粒度 Reference evidence 经 semantic membership quotient 后得到的高层关系构念定义为 Reference Quotient（RefQ），其网络表示称为 Reference Quotient Network（RefQN）。本文的具体对象是 Project-level RefQN：source 侧由 294 个分析 seed DBMS projects 完整观测，target 侧则向可识别的 referenced projects 扩展。RefQ 是对已有 project-level direct-reference aggregation 的 formalization/reframing，不声称发明 project-reference network 或 quotient operator。RefQ relation 保留引用方向、项目归属和聚合证据强度，但不自动表示 package dependency、code dependency、技术采用、隐含知识过程、因果影响或 Issue 被 PR 解决。","294","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0036","### 1.2 Reference Coupling、图粗化与 Reference Quotient","line 36","Blincoe 2015/2019 与 IREL 已分别提供了 cross-reference 到项目级网络的经验先例，以及 URL/Num/SHA reference extraction 和 project identity/rename resolution 的识别先例 [@blincoe2015ecosystems; @blincoe2019referencecoupling; @liu2022irel]。本文的增量不是否认这些已有操作，而是把 observable fine-grained evidence universe 与 quotient-eligible project-mappable subset 分开建模：前者支撑 RQ1 对 non-project resources、internal references 和 heterogeneous source contexts 的描述，后者才进入 RefQ construction。这样可以在承认 project-level aggregation 先例的同时，明确哪些 evidence 能形成项目级边、这些边如何追溯以及它们不能支持哪些更强语义。DBMS 项目可能引用外部规范、性能基准、兼容性问题、跨版本适配经验和其他数据库实现，这为检验跨项目 Reference evidence 提供了具有领域针对性的经验环境。","2015;2019;015;019;022","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0038","### 1.3 研究缺口与目标","line 38","### 1.3 研究缺口与目标","1.3","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0043","### 1.3 研究缺口与目标","line 43","第二，既有 project-reference work 已经证明 cross-project references 可以支持 directed and count-weighted project-level analysis；然而，project-pair edge representation 本身并不完整表达本文从 heterogeneous artifact-level evidence 提升到项目级关系时所需的 endpoint eligibility、project identity/membership、internal 与 non-project reference handling、edge evidence semantics 以及 source observation completeness。本文因此将这些 construction and observation decisions 显式写成 contract，而不是把它们包装成 prior work 从未处理的字段，并据此避免把项目级边误读为依赖、重要性或完整知识传递 [@blincoe2015ecosystems; @blincoe2019referencecoupling; @liu2022irel]。","015;019;022","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0045","### 1.3 研究缺口与目标","line 45","第三，seed-centered source observation 与 expanded target observation 容易导致 source/target role 混用。本文只完整观测 294 个 seed DBMS projects 的 source 行为；expanded target nodes 主要因为被 seed projects 引用而进入网络。若不分离 source role、target role 和 undirected structural view，就可能把 target 节点的低 out-degree 错误解释为项目行为特征。","294","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0051","### 1.4 研究问题与贡献","line 51","### 1.4 研究问题与贡献","1.4","NON_SCIENTIFIC_FORMATTING","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0052","### 1.4 研究问题与贡献","line 52","针对上述问题，本文以 GitHub 平台 294 个开源 DBMS 项目作为征引侧种子样本，基于 GH_CoRE 处理链抽取和组织协作 Reference evidence，并通过 artifact-to-project membership-induced graph coarsening 构建 Project-level RefQN。本文的核心目标是考察 RefQ 在开源 DBMS 生态中的构造口径、可观察模式和解释边界。围绕这一目标，本文提出以下研究问题：","294","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
"QNUM0055","### 1.4 研究问题与贡献","line 55","- **RQ2a**：在 Project-level Reference Quotient Network 中，294 个 seed DBMS projects 的主动引用范围和聚合引用强度如何分布，seed-to-seed 与 seed-to-expanded RefQ relations 呈现何种差异？","294","HISTORICAL_COMPARISON","N/A","N/A","INTEGER_FORMAT","NOT_APPLICABLE","actual final QA manuscript numeric-bearing line rescanned"
